Unnamed: 0,n_startpop_5564,n_startpop_6574,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_college,p_cogstate1_f,p_cogstate1_his,p_cogstate1_his_f,p_cogstate1_hsless,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_college,n_cogstate1_f,n_cogstate1_his,n_cogstate1_his_f,n_cogstate1_hsless,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_college,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_his_f,n_nhmliv_dem_hsless,n_nhmliv_dem_m,n_nhmliv_dem_wht,p_nhmliv_dem_5564,p_nhmliv_dem_6574,p_nhmliv_dem_7584,p_nhmliv_dem_85p,p_nhmliv_dem_all,p_nhmliv_dem_blk,p_nhmliv_dem_college,p_nhmliv_dem_f,p_nhmliv_dem_his,p_nhmliv_dem_his_f,p_nhmliv_dem_hsless,p_nhmliv_dem_m,p_nhmliv_dem_wht,helphoursyr_dem_5564,helphoursyr_dem_6574,helphoursyr_dem_7584,helphoursyr_dem_85p,helphoursyr_dem_all,helphoursyr_dem_blk,helphoursyr_dem_college,helphoursyr_dem_f,helphoursyr_dem_his,helphoursyr_dem_his_f,helphoursyr_dem_hsless,helphoursyr_dem_m,helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_college,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_hsless,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_college,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_hsless,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_college,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_hsless,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_college,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_hsless,t_oopmd_dem_m,t_oopmd_dem_wht,t_qalys_dem_5564,t_qalys_dem_6574,t_qalys_dem_7584,t_qalys_dem_85p,t_qalys_dem_all,t_qalys_dem_blk,t_qalys_dem_college,t_qalys_dem_f,t_qalys_dem_his,t_qalys_dem_hsless,t_qalys_dem_m,t_qalys_dem_wht,t_est_helperct_dem_5564,t_est_helperct_dem_6574,t_est_helperct_dem_7584,t_est_helperct_dem_85p,t_est_helperct_dem_all,t_est_helperct_dem_blk,t_est_helperct_dem_college,t_est_helperct_dem_f,t_est_helperct_dem_his,t_est_helperct_dem_hsless,t_est_helperct_dem_m,t_est_helperct_dem_wht
2.year_inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.year_inc,-1018101.2,733555.7,1654740.3,751233.2,1991996.0,291042.6,1591525.0,1095242.8,1157626.7,589913.6,200497.3,896753.3,543326.7,0.00022200000000000003,0.000697,-0.00292,-0.00445,0.0016899999999999999,0.0021899999999999997,0.0026100000000000003,0.0013800000000000002,0.00103,0.000363,-0.00324,0.00203,0.00139,-1648.1,46066.9,76523.1,196356.3,317679.1,58084.6,240422.4,153553.2,102930.6,52433.4,-18356.0,164125.9,156663.9,0.00233,0.00411,-0.00312,-0.0022199999999999998,0.00385,0.00207,0.0053,0.00301,0.00325,0.0032600000000000003,0.00248,0.0048200000000000005,0.0031100000000000004,10020.1,245025.7,282937.7,214734.5,762117.9,94801.8,547584.9,348684.4,307489.6,156564.2,94014.7,413433.5,359826.6,-971.5,-2921.5,-2734.7,30113.0,23093.9,4582.8,14684.1,7857.0,7274.4,5456.8,-9551.6,15236.9,11236.7,-0.00227,-0.00374,-0.0027600000000000003,-0.00533,-0.00231,-0.000151,-0.00733,-0.00405,0.00132,0.0028399999999999996,-0.00381,0.000615,-0.00325,-22261701.6,61267948.9,181822570.5,304188262.6,1983100000.0,66809263.0,343303089.6,282706665.0,182025705.7,92380746.4,-27256375.1,246502655.4,280374351.7,-66643499.9,1146630000.0,2464350000.0,5626210000.0,9157730000.0,1916480000.0,6577330000.0,4447690000.0,2575420000.0,-544951333.8,4710040000.0,4665830000.0,-71679367.1,512444592.5,1432310000.0,3097170000.0,4964290000.0,1113370000.0,3766540000.0,2372500000.0,1349830000.0,-228185594.7,2591800000.0,2501100000.0,69061632.2,111283918.8,224733653.4,1290320000.0,1712950000.0,442947369.8,695537411.9,765418391.9,672366881.7,85975032.8,947533469.2,597637609.6,-4812788.8,217891289.6,383109221.4,1187780000.0,1782330000.0,323739572.0,1241350000.0,930612494.3,469637996.8,-141878220.1,851719829.8,988954755.2,-508171645.7,4698990000.0,2527100000.0,12848800000.0,19468300000.0,3063380000.0,17530700000.0,8131110000.0,7107360000.0,-2260760000.0,11337100000.0,9297520000.0,-9830.1,46238.2,61921.4,296576.5,398067.0,66881.7,287120.3,222343.7,118963.9,-24039.2,175723.3,212221.3
6.year_inc,-2056122.1,1036640.2,3555855.5,1301727.2,4046968.3,619745.9,3070282.5,2244672.1,2310962.2,1172598.7,472123.5,1802296.2,1116260.2,0.000341,0.0224,0.0333,0.0336,0.0202,0.0338,0.0166,0.019,0.0274,0.0257,0.0294,0.0215,0.0161,-8004.5,898759.7,1191139.0,753176.6,2840398.2,540477.6,1363180.3,1444849.5,680684.2,346450.9,506389.7,1395548.8,1619236.4,0.004529999999999999,0.0575,0.0528,0.0105,0.0349,0.0261,0.0402,0.0336,0.0224,0.0215,0.0101,0.0364,0.0364,8446.3,2363564.2,2160523.5,513936.1,5095595.2,511580.6,3385083.3,2631640.3,918667.0,461106.0,285543.6,2463954.9,3665347.6,-1623.5,366.7,25050.6,103634.2,126947.3,19525.2,76438.7,66751.5,17391.0,11767.3,-3406.5,60195.7,90031.0,-0.0034799999999999996,-0.0105,-0.011,-0.0211,-0.026,-0.015,-0.0328,-0.0322,-0.0118,-0.0118,-0.0236,-0.0156,-0.0323,-16592604.5,734750459.2,1534550000.0,1238370000.0,4077930000.0,641300532.4,1798540000.0,1804630000.0,986138799.0,507232711.3,687835813.9,1678510000.0,1855700000.0,-227543052.8,24540800000.0,30597500000.0,22267700000.0,77205300000.0,15683800000.0,36896700000.0,39227800000.0,17013300000.0,13301500000.0,37977500000.0,44508300000.0,-25376140.0,12383900000.0,18234000000.0,12518600000.0,43108600000.0,9278560000.0,19929500000.0,21997100000.0,9386860000.0,7676590000.0,21111600000.0,24443200000.0,439783.0,3519170000.0,2620340000.0,3191240000.0,9358820000.0,2534530000.0,3084850000.0,5337320000.0,3396550000.0,3126230000.0,4021500000.0,3427740000.0,-33807970.9,4602510000.0,5085560000.0,4667430000.0,14324500000.0,2638100000.0,7392830000.0,7540840000.0,2915650000.0,2091390000.0,6783630000.0,8770730000.0,-2199310000.0,75319000000.0,80973400000.0,44537700000.0,198965000000.0,35725800000.0,103514000000.0,93041100000.0,46656700000.0,29911400000.0,105924000000.0,116582000000.0,-26221.4,672666.1,1181106.1,1034860.8,2877499.5,497336.1,1445457.3,1682207.2,665406.9,478461.4,1195292.4,1714756.5
8.year_inc,-2411266.3,523711.6,4888948.5,2292148.2,6387600.0,992710.8,4619670.3,3551958.4,3549346.8,1787566.2,860213.2,2835641.7,1845542.4,0.00046399999999999995,0.0355,0.0629,0.0666,0.0355,0.0575,0.03,0.0343,0.0451,0.0437,0.0499,0.0368,0.0292,-7019.3,1381809.2,2173032.8,1467924.5,5032387.3,934577.9,2480477.2,2620863.5,1158316.9,599284.2,886902.2,2411523.8,2939492.6,0.00617,0.0703,0.0676,0.005679999999999999,0.0437,0.0306,0.0524,0.0411,0.0272,0.0257,0.00945,0.0467,0.0456,41133.4,2768221.5,2926929.3,781469.4,6655213.5,671455.4,4547526.2,3372757.3,1309447.6,649363.7,392052.6,3282456.2,4674310.5,-246.5,10031.1,87167.2,268810.3,365901.2,53938.7,200269.7,207354.9,43861.2,25404.6,28410.7,158546.3,268101.4,-0.000325,-0.00799,-0.0042899999999999995,-0.0193,-0.026,-0.0132,-0.033,-0.0353,-0.00984,-0.0125,-0.0242,-0.0114,-0.034,-2869784.8,1240700000.0,2965230000.0,2574290000.0,6520720000.0,1247790000.0,3431340000.0,3616840000.0,1822460000.0,1034750000.0,1295960000.0,3176270000.0,3722860000.0,-263205569.7,37276900000.0,56678100000.0,46235900000.0,140043000000.0,27039700000.0,68634100000.0,72972100000.0,29500900000.0,24115200000.0,67071300000.0,83502800000.0,-38393335.7,18935400000.0,33279500000.0,24941300000.0,77127900000.0,16321200000.0,36905800000.0,40331900000.0,16102500000.0,13946700000.0,36795900000.0,44704200000.0,3080010.3,5325970000.0,6350650000.0,7961950000.0,19695200000.0,4582210000.0,6936850000.0,11980900000.0,6476190000.0,6038570000.0,7714380000.0,8636850000.0,-43999027.6,6798840000.0,9426390000.0,9960460000.0,26153100000.0,4385120000.0,13718800000.0,14069300000.0,5018460000.0,3719150000.0,12083800000.0,16749500000.0,-2877840000.0,115004000000.0,144883000000.0,80885000000.0,339336000000.0,59908400000.0,181487000000.0,166251000000.0,76642900000.0,51483500000.0,173085000000.0,202785000000.0,-13816.2,1040172.0,2203164.1,2032800.5,5277225.1,887021.0,2690062.6,2960143.9,1250308.5,894859.4,2317081.2,3139895.6
10.year_inc,-2435333.5,-260576.6,5766476.3,3321115.6,8139834.6,1263054.2,5799019.3,4494648.9,4677229.9,2335301.7,1204837.8,3645185.7,2199550.5,0.000505,0.0392,0.0796,0.0836,0.0442,0.0703,0.0382,0.0426,0.0568,0.053,0.0575,0.046,0.0361,-5666.9,1473885.2,2791892.1,2080302.5,6365194.9,1167840.4,3205752.2,3304055.0,1539391.7,770393.6,1075762.7,3061139.9,3657962.8,0.00792,0.0691,0.0722,0.00128,0.0458,0.0287,0.0567,0.0433,0.0226,0.0201,0.00535,0.0487,0.0489,107168.5,2578224.4,3317847.0,1057329.1,7263345.4,714199.8,5067718.2,3697116.0,1489446.6,720936.6,430222.9,3566229.5,5059699.0,-467.5,25899.8,136147.1,431048.8,592396.4,78121.0,338764.7,352738.1,70624.4,38439.7,32463.3,239658.3,443651.0,-0.0009,-0.000199,0.0017100000000000001,-0.0125,-0.0175,-0.00905,-0.0196,-0.0245,-0.00576,-0.00919,-0.0275,-0.00511,-0.0215,-15140438.5,1498410000.0,4038140000.0,3812660000.0,9646400000.0,1596880000.0,4738380000.0,4916530000.0,2683480000.0,1366410000.0,1870700000.0,4427670000.0,5063850000.0,-335122251.6,40724900000.0,73515700000.0,66092200000.0,180146000000.0,34269200000.0,90809700000.0,94452200000.0,39666400000.0,28929300000.0,85693900000.0,106210000000.0,-13071109.0,20726200000.0,43076800000.0,34622600000.0,98421900000.0,20722500000.0,48700900000.0,50956200000.0,21650200000.0,16633800000.0,47465600000.0,56049200000.0,-28375777.8,6804280000.0,8799540000.0,12178300000.0,27827300000.0,6046180000.0,10328400000.0,17214900000.0,9134360000.0,7784600000.0,10612500000.0,12646800000.0,-48914589.8,7260990000.0,12088900000.0,14674500000.0,33991200000.0,5502410000.0,18338300000.0,18775000000.0,6750930000.0,4327610000.0,15216200000.0,21737800000.0,-2533550000.0,119707000000.0,182837000000.0,108867000000.0,411127000000.0,73085000000.0,221810000000.0,201853000000.0,98672800000.0,61429700000.0,209274000000.0,239369000000.0,4083.3,1199210.8,2888126.5,2961171.3,7075452.8,1184272.1,3702000.4,3979755.1,1724048.8,1108142.4,3095697.7,4167131.9
12.year_inc,-2287794.4,-692772.4,6411691.7,4052014.6,9409130.9,1490871.9,6594863.4,5191900.6,5770342.1,2856715.1,1538251.9,4217230.3,2147916.9,0.000784,0.0365,0.0887,0.0916,0.0483,0.0736,0.0438,0.0458,0.0619,0.0567,0.0556,0.0511,0.0396,6803.5,1344169.4,3181840.3,2500565.7,7060613.1,1259604.2,3715778.0,3615221.0,1797330.6,885028.1,1116077.2,3445392.1,4003678.4,0.00946,0.0617,0.0662,-0.000508,0.0438,0.0242,0.0552,0.0417,0.019,0.0167,0.00259,0.0463,0.0468,180618.2,2224337.9,3337258.6,1264463.7,7230566.4,705272.9,5069949.4,3704526.9,1671439.6,804900.0,483889.6,3526039.5,4853853.9,139.2,23467.4,167927.4,570932.2,762889.1,108944.7,436616.1,445351.0,100787.2,51481.1,43951.5,317538.1,553157.2,0.000125,-0.000584,0.00655,-0.00161,-0.00827,0.00165,-0.00972,-0.0153,0.0013,-0.00474,-0.0233,0.0042899999999999995,-0.0112,16500867.1,1350440000.0,4728130000.0,4590800000.0,13553200000.0,1870850000.0,5642540000.0,5693450000.0,3232520000.0,1685520000.0,1939520000.0,4998010000.0,5588090000.0,-211765615.1,36723000000.0,83777000000.0,80600900000.0,201077000000.0,37778500000.0,105905000000.0,103692000000.0,46222600000.0,29810300000.0,97385700000.0,117076000000.0,-6728284.1,18984000000.0,48380100000.0,41143300000.0,108501000000.0,22513600000.0,56281400000.0,55069900000.0,25453800000.0,16957000000.0,53431300000.0,60533800000.0,8781842.7,6162170000.0,10874700000.0,16138600000.0,33272300000.0,6837950000.0,13393100000.0,19853100000.0,10764600000.0,8106550000.0,13419200000.0,15669800000.0,-27100711.7,6384170000.0,13884000000.0,18291700000.0,38553900000.0,6216570000.0,21689300000.0,21044000000.0,7820350000.0,4446590000.0,17509900000.0,24517000000.0,-1274810000.0,108958000000.0,210289000000.0,128898000000.0,449408000000.0,76293600000.0,252853000000.0,218050000000.0,114358000000.0,65115300000.0,231359000000.0,258756000000.0,-503.0,1073679.4,3395941.7,3606299.4,8098474.5,1273174.0,4384325.1,4495183.9,2058224.6,1183278.8,3603290.6,4767075.9
14.year_inc,-1430228.3,-1562338.6,6615499.0,4849004.3,10653842.2,1739248.7,7236204.5,5850370.3,6806144.8,3372845.9,1916634.0,4803471.9,2108448.7,0.0008810000000000001,0.0337,0.0872,0.0926,0.049,0.0708,0.0464,0.0464,0.0602,0.0542,0.0509,0.052,0.0409,20237.1,1187795.6,3187280.8,2868462.4,7295839.5,1260553.1,3977296.7,3729146.8,1898918.7,927887.4,1117388.3,3566692.7,4136367.7,0.01,0.0563,0.0632,-0.0038299999999999996,0.0419,0.0245,0.0539,0.0413,0.0187,0.0191,0.00253,0.0427,0.0434,281031.4,1871330.9,3315868.0,1467747.5,7200008.9,771930.9,5064147.5,3798004.1,1908172.3,953830.8,592996.5,3402004.9,4519905.8,940.0,18111.2,208068.0,702110.1,928707.3,128976.4,555055.2,510124.2,116807.2,57482.0,46112.8,418583.1,682923.8,0.00149,-0.0016600000000000002,0.0152,0.008190000000000001,0.0037600000000000003,0.00998,0.00728,-0.00701,0.00564,-0.0016600000000000002,-0.0219,0.0209,0.0052899999999999996,18754829.4,1248760000.0,4777430000.0,5553390000.0,17870600000.0,1997740000.0,6463540000.0,6173690000.0,3497780000.0,1836130000.0,1907960000.0,5432300000.0,6110470000.0,3432273.0,31874000000.0,85143800000.0,93565100000.0,210816000000.0,37794900000.0,115781000000.0,108407000000.0,49285600000.0,29655000000.0,102408000000.0,123735000000.0,38290719.3,16537600000.0,48210400000.0,46727400000.0,111519000000.0,22236700000.0,60479000000.0,56860600000.0,27075700000.0,16721400000.0,54658700000.0,62207000000.0,95665114.4,6127150000.0,11702600000.0,19335900000.0,37325400000.0,7566020000.0,16396900000.0,21778500000.0,11931100000.0,8544070000.0,15546900000.0,17828200000.0,-203012.0,5528530000.0,14379700000.0,21723500000.0,41653100000.0,6413860000.0,24495400000.0,22446100000.0,8332110000.0,4398290000.0,19207100000.0,26907200000.0,-437404392.7,98181900000.0,205975000000.0,147570000000.0,454179000000.0,75844400000.0,261427000000.0,219088000000.0,118451000000.0,65482300000.0,235091000000.0,259883000000.0,-7614.0,948859.7,3545573.9,4243687.9,8745801.4,1324353.8,4941292.7,4825347.1,2225792.8,1206499.5,3920454.4,5195654.9
16.year_inc,-350160.0,-2376989.8,6587919.0,5550353.0,12114163.6,2083985.6,7942689.0,6602671.1,7896153.0,3902648.4,2384579.9,5511492.5,2134024.9,0.000895,0.0306,0.0832,0.0874,0.0478,0.067,0.0471,0.0464,0.0585,0.0533,0.0442,0.0493,0.0396,33016.3,1029541.6,3070017.7,3104481.2,7278397.0,1258794.7,4092387.2,3810227.2,2005453.6,989797.6,1097391.8,3468169.8,4014148.8,0.0104,0.0531,0.0602,0.0028,0.0412,0.0193,0.0534,0.0391,0.0194,0.0187,0.00318,0.0436,0.0421,397321.5,1614509.3,3224234.7,1783120.5,7357780.4,776970.6,5127964.3,3766266.7,2182789.5,1073706.9,739661.3,3591513.7,4398020.3,281.9,16948.1,221036.3,815674.2,1053567.1,153554.4,683885.8,608794.3,145196.6,78246.6,45801.4,444772.8,754816.1,-0.00035299999999999996,-0.00101,0.0196,0.0184,0.014,0.0206,0.0272,0.00577,0.0128,0.00946,-0.0211,0.0275,0.0183,23788835.7,1143290000.0,4727910000.0,6192820000.0,22517000000.0,2023120000.0,7009450000.0,6452920000.0,3770340000.0,1995330000.0,1964300000.0,5644920000.0,6304370000.0,63151770.2,26808500000.0,83253400000.0,102929000000.0,213338000000.0,38214600000.0,122931000000.0,113002000000.0,51319100000.0,28124600000.0,100336000000.0,123804000000.0,2588768.0,13385400000.0,47119900000.0,49825000000.0,110334000000.0,21936000000.0,62590400000.0,57389200000.0,27440200000.0,15325800000.0,52944900000.0,60957900000.0,126611233.3,5366060000.0,12808400000.0,22817800000.0,41249700000.0,8146850000.0,19836100000.0,24876300000.0,12953200000.0,8638280000.0,16373400000.0,20149700000.0,2362116.4,4804960000.0,14129600000.0,24589800000.0,43556200000.0,6708650000.0,26891500000.0,24316800000.0,9083360000.0,4313080000.0,19239400000.0,27764200000.0,782902821.9,87817000000.0,200692000000.0,153163000000.0,446355000000.0,75407400000.0,261683000000.0,221443000000.0,126970000000.0,66122600000.0,224912000000.0,243978000000.0,24167.8,793068.4,3417487.3,4506987.6,8768780.8,1382699.1,5192370.5,4943277.2,2332352.2,1120686.5,3825503.6,5053729.6
18.year_inc,863410.2,-2586627.2,6136625.5,6127275.6,14217042.3,2573985.3,8882455.1,7632491.8,9133473.6,4501531.1,2986748.6,6584550.5,2509583.4,0.000992,0.0272,0.0797,0.0884,0.0462,0.0604,0.048,0.045,0.0555,0.0527,0.0346,0.0476,0.0385,50780.8,896677.0,2886965.0,3369186.3,7261075.0,1231461.5,4236964.7,3807273.4,2091104.0,1064220.6,1043376.4,3453801.6,3938509.5,0.0107,0.0527,0.0544,0.00296,0.0392,0.0182,0.0503,0.0383,0.019,0.0175,0.00473,0.0403,0.0386,522068.7,1562150.1,2928505.8,1969753.7,7450334.4,879278.3,5008329.2,3880421.1,2463660.5,1198331.3,941457.3,3569913.3,4107395.6,-4.806,15484.9,220371.0,886978.0,1123021.1,167870.7,756903.0,639779.9,172465.3,94294.0,47411.8,483241.2,782685.1,-0.00149,-0.0004969999999999999,0.0207,0.0185,0.0191,0.027,0.0349,0.01,0.0194,0.0156,-0.0191,0.0335,0.0233,29686146.6,902934350.5,4555390000.0,6755680000.0,27207300000.0,2003250000.0,7321430000.0,6619990000.0,4010700000.0,2145980000.0,1948790000.0,5642500000.0,6248530000.0,254673017.5,23149600000.0,77828300000.0,110823000000.0,212478000000.0,37767500000.0,127243000000.0,112616000000.0,53741500000.0,26599500000.0,99862600000.0,120969000000.0,27856055.1,11335200000.0,43676200000.0,53582200000.0,108639000000.0,21359400000.0,64031900000.0,56421600000.0,28598200000.0,14352700000.0,52217000000.0,58681000000.0,176425220.8,5003180000.0,12224900000.0,25217500000.0,42769800000.0,8322580000.0,21631200000.0,25861800000.0,13825800000.0,8522920000.0,16907900000.0,20621400000.0,13915214.4,4178620000.0,13412600000.0,26502800000.0,44152000000.0,6793570000.0,28362100000.0,24681600000.0,9607570000.0,4073200000.0,19470400000.0,27750900000.0,2521590000.0,78184500000.0,193671000000.0,165506000000.0,445147000000.0,73449300000.0,267041000000.0,222307000000.0,134147000000.0,65367500000.0,222839000000.0,237550000000.0,27711.6,699301.3,3216799.9,4968067.3,8954835.6,1382983.2,5536850.6,5084847.1,2430416.7,1092368.6,3869988.5,5141435.7
20.year_inc,2127194.9,-2455161.4,5730405.8,6576307.9,16164634.5,3054170.0,9628478.0,8513811.2,10403774.1,5112008.4,3630678.4,7650823.3,2706690.4,0.0011,0.0261,0.073,0.0879,0.0443,0.0538,0.0471,0.0437,0.0526,0.0506,0.0276,0.045,0.037,69735.3,861893.2,2618404.5,3557551.3,7175897.4,1195015.1,4213666.5,3795484.8,2177419.3,1118034.2,1031786.6,3380412.6,3803463.0,0.0115,0.0462,0.0531,-0.000408,0.0367,0.0157,0.0473,0.0359,0.0193,0.0171,0.00659,0.0376,0.0342,675509.8,1353909.4,2775223.2,2056290.6,7421929.5,955241.4,4862075.3,3845205.0,2771637.9,1334728.9,1162790.4,3576724.5,3695050.3,465.7,10141.5,209291.9,989186.8,1208867.4,174119.7,818965.1,685599.8,199479.2,110543.2,50776.3,523267.6,835268.5,-0.00118,-0.0037,0.0206,0.027,0.026,0.0307,0.0453,0.0165,0.0254,0.0227,-0.0176,0.0405,0.033,38805344.6,903942925.7,4169550000.0,7016200000.0,32134900000.0,2035990000.0,7231040000.0,6587230000.0,4124470000.0,2184780000.0,2011340000.0,5581010000.0,6007780000.0,397635345.5,21690900000.0,69793900000.0,118996000000.0,211377000000.0,36420200000.0,128070000000.0,113444000000.0,55865700000.0,25923300000.0,97932700000.0,119091000000.0,29767497.2,10680400000.0,38655600000.0,56642800000.0,106043000000.0,20124700000.0,63605900000.0,55902500000.0,29112800000.0,13508000000.0,50140100000.0,56805000000.0,254311510.1,4882010000.0,11897500000.0,27596000000.0,44849600000.0,8412980000.0,22863500000.0,27606900000.0,15021100000.0,8802340000.0,17242700000.0,21415500000.0,30895964.6,3889100000.0,12136700000.0,28826100000.0,44932000000.0,6732400000.0,29033300000.0,25365300000.0,10264900000.0,4130120000.0,19566700000.0,27934600000.0,4213050000.0,77024800000.0,179801000000.0,175061000000.0,442441000000.0,71522200000.0,262082000000.0,223373000000.0,143304000000.0,68936900000.0,219067000000.0,227614000000.0,35292.6,636631.4,2871039.7,5261336.5,8857076.9,1373377.2,5562130.4,5069719.6,2503964.1,1002086.6,3787357.3,4979735.6
