Unnamed: 0,n_startpop_5564,n_startpop_6574,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_college,p_cogstate1_f,p_cogstate1_his,p_cogstate1_his_f,p_cogstate1_hsless,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_college,n_cogstate1_f,n_cogstate1_his,n_cogstate1_his_f,n_cogstate1_hsless,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_college,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_his_f,n_nhmliv_dem_hsless,n_nhmliv_dem_m,n_nhmliv_dem_wht,p_nhmliv_dem_5564,p_nhmliv_dem_6574,p_nhmliv_dem_7584,p_nhmliv_dem_85p,p_nhmliv_dem_all,p_nhmliv_dem_blk,p_nhmliv_dem_college,p_nhmliv_dem_f,p_nhmliv_dem_his,p_nhmliv_dem_his_f,p_nhmliv_dem_hsless,p_nhmliv_dem_m,p_nhmliv_dem_wht,helphoursyr_dem_5564,helphoursyr_dem_6574,helphoursyr_dem_7584,helphoursyr_dem_85p,helphoursyr_dem_all,helphoursyr_dem_blk,helphoursyr_dem_college,helphoursyr_dem_f,helphoursyr_dem_his,helphoursyr_dem_his_f,helphoursyr_dem_hsless,helphoursyr_dem_m,helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_college,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_hsless,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_college,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_hsless,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_college,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_hsless,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_college,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_hsless,t_oopmd_dem_m,t_oopmd_dem_wht,t_qalys_dem_5564,t_qalys_dem_6574,t_qalys_dem_7584,t_qalys_dem_85p,t_qalys_dem_all,t_qalys_dem_blk,t_qalys_dem_college,t_qalys_dem_f,t_qalys_dem_his,t_qalys_dem_hsless,t_qalys_dem_m,t_qalys_dem_wht,t_est_helperct_dem_5564,t_est_helperct_dem_6574,t_est_helperct_dem_7584,t_est_helperct_dem_85p,t_est_helperct_dem_all,t_est_helperct_dem_blk,t_est_helperct_dem_college,t_est_helperct_dem_f,t_est_helperct_dem_his,t_est_helperct_dem_hsless,t_est_helperct_dem_m,t_est_helperct_dem_wht
2.year_inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.year_inc,-1018100.1,733557.0,1654740.6,751233.2,1991998.8,291043.0,1591526.2,1095244.8,1157627.4,589914.3,200497.8,896754.0,543328.4,0.00022200000000000003,0.000558,-0.00307,-0.00485,0.00158,0.00205,0.0025399999999999997,0.00131,0.000884,0.00023999999999999998,-0.00344,0.0018899999999999998,0.0013,-1648.1,40733.1,72740.8,192563.8,304770.5,56170.4,234723.7,148800.7,100302.1,51316.2,-21377.3,155969.8,148298.0,0.00233,0.00385,-0.0034100000000000003,-0.00212,0.00373,0.00197,0.00517,0.00285,0.00313,0.0031100000000000004,0.00237,0.00473,0.00298,10020.3,235165.4,275787.7,215671.5,746044.9,93392.5,538115.6,338012.7,305471.3,155217.8,92476.7,408032.2,347181.0,-1138.1,-2921.5,-2734.7,29249.0,22063.2,4335.4,14317.0,7106.7,7220.3,5402.7,-9851.3,14956.5,10507.5,-0.00267,-0.0036200000000000004,-0.0026899999999999997,-0.00534,-0.00224,-0.00022400000000000002,-0.007209999999999999,-0.004070000000000001,0.0014,0.00288,-0.00381,0.000754,-0.00313,-22193730.1,57457159.8,176395487.9,289821957.2,1983100000.0,62359678.1,335475450.8,272110322.4,177962760.6,89043005.2,-32586371.2,233548833.4,265336717.0,-99005420.7,958507934.6,2208860000.0,5335670000.0,8387200000.0,1784980000.0,6303790000.0,4074170000.0,2382110000.0,-785062104.7,4313030000.0,4220110000.0,-69448874.3,426966938.4,1258590000.0,2888200000.0,4498300000.0,1037100000.0,3602200000.0,2138210000.0,1228590000.0,-376698985.1,2360090000.0,2232610000.0,67386197.1,95118043.0,224056141.8,1254550000.0,1658590000.0,436373796.3,680412584.2,731077617.8,651568973.0,62146692.6,927509972.9,570644821.4,-8625236.6,184659451.5,356321349.1,1156830000.0,1687100000.0,308089315.5,1202920000.0,890305486.1,449820616.4,-166807270.2,796791864.2,929187418.4,71632976.7,4935310000.0,3286370000.0,13186100000.0,21516100000.0,3674760000.0,17900000000.0,9496650000.0,7738160000.0,-1391620000.0,12019400000.0,10103200000.0,-9965.6,44495.8,56002.2,291352.7,385046.0,64527.2,281887.9,215763.7,118463.7,-25981.5,169282.3,202055.1
6.year_inc,-2051896.7,1045698.2,3566987.4,1307442.5,4077098.8,621927.0,3085632.2,2256689.7,2315748.6,1175202.7,475436.8,1820409.1,1139423.3,0.000339,0.00221,-0.0036299999999999995,-0.00788,0.00355,0.00566,0.005220000000000001,0.00277,0.0037700000000000003,0.00137,-0.004520000000000001,0.00443,0.0025,-8004.4,113265.2,222654.6,336856.6,670099.4,139887.0,485332.4,314582.0,240174.9,110997.6,1681.5,355517.3,290037.5,0.004529999999999999,0.0044399999999999995,-0.00246,-0.00116,0.00701,0.00209,0.0105,0.00619,0.00351,0.00259,-0.000138,0.00795,0.00617,8981.4,295845.7,709607.5,398416.2,1461975.9,170752.8,1096348.0,725692.6,567013.4,277917.3,134878.5,736283.2,724209.7,-1623.5,-3658.0,3416.1,49865.5,47519.4,6506.5,44329.9,17980.7,14039.7,9746.0,-15998.7,29538.7,26973.2,-0.0034799999999999996,-0.0054,-0.00299,-0.009009999999999999,-0.00464,-0.0033,-0.00722,-0.00717,0.000785,0.0032700000000000003,-0.00801,0.000118,-0.0040100000000000005,-22616694.5,74035334.2,355794889.7,570051458.3,4073420000.0,183860073.0,745814052.0,482269717.2,359035353.4,150435690.4,-9191127.9,487055365.3,426429656.1,-249534411.7,2815660000.0,5468250000.0,9553130000.0,17614400000.0,4061100000.0,13065500000.0,8279370000.0,5627250000.0,-559301311.3,9335020000.0,7926040000.0,-28117822.4,1664170000.0,3081270000.0,5020520000.0,9735440000.0,2426080000.0,7066870000.0,4625320000.0,3073160000.0,-299414988.9,5110120000.0,4236210000.0,-33300787.6,626080524.2,572775121.6,1417900000.0,2610890000.0,707742506.5,1426190000.0,1124330000.0,1229400000.0,209588793.5,1486550000.0,673745431.3,-34653060.6,395483805.7,940030239.8,2116630000.0,3420260000.0,676415638.5,2696900000.0,1711650000.0,986750995.3,-185087203.8,1708610000.0,1757090000.0,22398184.4,11859400000.0,13640900000.0,21826900000.0,47816200000.0,9452740000.0,35692500000.0,19179300000.0,18710900000.0,1079060000.0,28636900000.0,19652600000.0,-28562.2,87809.4,222539.3,459437.5,755961.6,142268.7,586402.4,449019.2,232818.4,-47040.8,306942.3,380874.5
8.year_inc,-2400221.9,556327.9,4921422.2,2313103.4,6484689.5,1002253.2,4666595.7,3598533.6,3563152.7,1795217.1,873923.1,2886155.9,1919283.6,0.000466,0.0035700000000000003,-0.00425,-0.0155,0.0054,0.008029999999999999,0.00825,0.00443,0.0056700000000000006,0.00207,-0.00747,0.0065,0.00389,-6819.8,152140.2,321401.2,563890.2,1047251.9,212785.0,774905.2,508311.4,374018.5,170542.8,12174.7,538940.5,460448.5,0.00618,0.00735,-0.00183,-0.00387,0.0102,0.0059700000000000005,0.0144,0.009590000000000001,0.00488,0.00503,0.0030399999999999997,0.011,0.00854,42568.2,348027.2,1017637.4,682771.4,2228464.2,314626.4,1563022.7,1150017.6,868901.2,438272.2,298055.8,1078446.6,1044936.7,-1120.4,-3408.2,9419.4,111861.4,116891.3,18704.6,96984.7,57384.1,21532.5,13050.6,-19282.0,59507.2,76654.3,-0.0025,-0.00562,-0.00238,-0.0058200000000000005,-0.0012900000000000001,0.000866,-0.00079,-0.0042899999999999995,0.0011099999999999999,0.00281,-0.00987,0.0043100000000000005,0.00141,-15827450.6,118903921.3,503657284.5,994236230.0,6245690000.0,316375689.5,1143000000.0,829321697.2,608385332.0,306762387.2,-2693918.6,787414376.1,691975051.7,-267282891.9,3553760000.0,8086310000.0,17575900000.0,29058900000.0,6088680000.0,21878400000.0,14182400000.0,8977480000.0,-433422743.0,14876600000.0,13992800000.0,-45350394.8,2024820000.0,4420560000.0,8886090000.0,15296300000.0,3718680000.0,11507600000.0,7548490000.0,4819890000.0,-114604954.8,7747780000.0,6757700000.0,-61086609.2,622822382.8,1055880000.0,3159320000.0,4830600000.0,899323425.4,2881090000.0,2381220000.0,2042050000.0,107160971.4,2449390000.0,1889230000.0,-40619988.5,524188419.8,1450350000.0,4017400000.0,5962050000.0,1016180000.0,4672430000.0,3024760000.0,1575530000.0,-259577636.0,2937290000.0,3370350000.0,-238955443.1,17676900000.0,19926300000.0,34896000000.0,73852400000.0,14175000000.0,56488600000.0,33312500000.0,28909800000.0,2940820000.0,40539900000.0,30767500000.0,-13430.6,112635.1,333331.4,780403.4,1227844.1,237108.5,937889.7,641818.9,405814.3,-35181.8,586025.2,584921.3
10.year_inc,-2411810.7,-119035.8,6044575.0,3545271.7,8807153.0,1344394.5,6130866.1,4824784.1,4771025.3,2380555.3,1299453.2,3982368.9,2691733.2,0.0005480000000000001,0.00473,-0.00151,-0.0258,0.007809999999999999,0.0119,0.0109,0.0069,0.00855,0.00466,-0.008320000000000001,0.00883,0.00562,-3723.1,176035.1,495390.2,810368.1,1502852.4,305832.5,1042534.6,758214.2,530273.0,248613.0,57328.2,744638.2,666746.8,0.008,0.00921,0.00247,-0.0034799999999999996,0.0142,0.0087,0.0197,0.0134,0.00703,0.00457,0.00313,0.0151,0.0121,112349.5,334586.1,1383545.8,1070234.3,3103492.1,435072.1,2146561.9,1596431.7,1181651.5,562307.5,422899.5,1507060.4,1486768.4,-1552.6,-1047.1,21858.5,166478.2,185505.2,23163.4,150879.8,103470.2,29449.0,18449.0,-27455.6,82035.0,132892.8,-0.00345,-0.00386,-0.000633,-0.006509999999999999,0.000505,-0.00115,0.0058200000000000005,-0.00221,0.0007030000000000001,0.0030600000000000002,-0.0157,0.00551,0.006679999999999999,-10381599.2,140733319.3,702425672.0,1422850000.0,8539750000.0,449308858.9,1533900000.0,1224500000.0,860121997.0,441027810.4,126772450.1,1041160000.0,956230974.3,-308878253.9,4366990000.0,12711500000.0,25229500000.0,42146500000.0,8807680000.0,29833400000.0,21776700000.0,12743700000.0,346822646.6,20369800000.0,20595100000.0,-30487836.2,2243520000.0,7104530000.0,12719500000.0,22046400000.0,5416640000.0,15655100000.0,11144100000.0,6769070000.0,247523186.8,10902200000.0,9860640000.0,-73265806.6,912049545.0,1976370000.0,4213580000.0,7101960000.0,1294900000.0,4100210000.0,3765410000.0,2855000000.0,163919609.3,3336550000.0,2952060000.0,-43534712.6,725374072.5,2181340000.0,5823320000.0,8702070000.0,1451760000.0,6433460000.0,4821960000.0,2292710000.0,-181683351.5,3880120000.0,4957600000.0,149779767.0,19762300000.0,33835900000.0,49407200000.0,105557000000.0,20756800000.0,74430200000.0,50397800000.0,39752900000.0,7150560000.0,55159300000.0,45047500000.0,3131.4,138158.1,493498.4,1122470.3,1780119.0,345107.0,1299776.6,1001452.8,573305.1,1634.2,778666.2,861706.9
12.year_inc,-2258901.5,-466224.9,7097156.7,4647406.7,10945428.5,1678085.2,7372775.9,5972486.2,5980284.3,2964570.1,1755758.7,4972942.3,3287058.9,0.000863,0.0053,0.00124,-0.0287,0.0104,0.0145,0.0147,0.00893,0.0127,0.007370000000000001,-0.0103,0.0121,0.00755,10195.7,186624.2,669860.1,1095717.2,1989631.4,381000.7,1391672.1,977065.7,722019.3,331055.0,87972.5,1012565.8,886611.4,0.00958,0.008790000000000001,0.004379999999999999,-0.000869,0.017,0.0101,0.0226,0.0163,0.00761,0.00592,0.00446,0.0179,0.0146,187961.2,275323.6,1671250.9,1446552.1,3804975.9,535497.8,2522478.4,1970933.6,1464866.8,705981.0,576969.0,1834042.3,1804611.4,-1091.8,-732.4,18865.2,218632.2,236096.0,37655.2,188881.7,127780.2,41469.1,24411.0,-36424.3,108315.8,156971.8,-0.00278,-0.0038,-0.00456,-0.009559999999999999,-0.0005070000000000001,0.00372,0.00322,-0.0038799999999999998,0.00137,0.00343,-0.021,0.0063100000000000005,0.004370000000000001,24813072.7,162239565.1,1037020000.0,1929210000.0,10988900000.0,610997916.9,2209720000.0,1729740000.0,1174220000.0,611162808.3,175662135.7,1428850000.0,1373370000.0,-157076419.4,4416640000.0,16539900000.0,33632000000.0,54619400000.0,11228100000.0,39186300000.0,27118900000.0,17037200000.0,489991894.8,27500500000.0,26354100000.0,-23581633.3,2285890000.0,9391820000.0,16820200000.0,28474900000.0,6687440000.0,20609200000.0,13899500000.0,9106570000.0,257033189.2,14575300000.0,12680900000.0,17088500.6,1190520000.0,2206360000.0,6548860000.0,10051100000.0,1977460000.0,5832170000.0,5483270000.0,4051580000.0,429906416.3,4567790000.0,4022020000.0,-19317217.0,698014680.4,2771400000.0,7781750000.0,11252900000.0,1921540000.0,8414840000.0,5990870000.0,3032090000.0,-185000317.3,5262070000.0,6299310000.0,874040538.8,20957700000.0,48441400000.0,68565200000.0,141529000000.0,26215300000.0,100134000000.0,66139600000.0,53820800000.0,11843300000.0,75389000000.0,61492500000.0,4641.8,139078.2,654292.8,1495598.0,2316667.8,406901.9,1713264.4,1259555.6,784145.4,-9951.5,1057112.2,1125620.5
14.year_inc,-1406310.3,-1297120.0,7629784.9,5930697.4,13038957.8,2036892.3,8487681.0,7080674.8,7153005.5,3541522.4,2250807.0,5958283.0,3849060.0,0.000936,0.0061600000000000005,0.00335,-0.0299,0.013,0.0161,0.0179,0.0119,0.0148,0.00962,-0.00907,0.0143,0.01,22703.2,192337.5,782939.7,1448707.1,2478751.0,446018.6,1707345.5,1267597.2,871453.3,410468.0,174254.8,1211153.8,1161279.1,0.0101,0.0108,0.00548,-0.00183,0.0194,0.0132,0.0263,0.0184,0.00813,0.00583,0.00286,0.0206,0.0163,288507.2,245998.9,1822361.2,1833244.2,4454142.7,667900.6,2956785.6,2289699.2,1740215.2,832567.6,695540.8,2164443.5,2046026.9,651.4,-1662.2,34497.7,284578.1,317542.9,50823.5,250237.8,171263.8,46465.8,26571.5,-35414.8,146279.1,220253.7,0.000736,-0.00471,-0.0005690000000000001,-0.0127,0.00205,0.00798,0.00855,-0.0035,-0.000144,0.0005610000000000001,-0.0237,0.0112,0.0083,6854584.9,196297481.0,1129490000.0,2551640000.0,13631900000.0,681490849.8,2698570000.0,2192650000.0,1449580000.0,748164114.2,302224343.7,1699240000.0,1760820000.0,44053550.9,4233370000.0,20051800000.0,44156800000.0,68711200000.0,13052000000.0,49023200000.0,35434500000.0,20747900000.0,2353630000.0,33276700000.0,34911300000.0,19863340.2,1968750000.0,11196500000.0,22182600000.0,35373300000.0,7636240000.0,25587400000.0,18064800000.0,11131400000.0,1134430000.0,17308500000.0,16605700000.0,69398799.4,1183280000.0,2588320000.0,7855610000.0,11760800000.0,2456620000.0,7155810000.0,6448130000.0,4710630000.0,766042787.3,5312650000.0,4593520000.0,6682750.3,730045008.0,3435650000.0,10140200000.0,14333800000.0,2332890000.0,10688100000.0,7821050000.0,3630280000.0,117416073.0,6512760000.0,8370630000.0,1881470000.0,21630100000.0,55000800000.0,88598400000.0,170160000000.0,29946600000.0,118627000000.0,82304400000.0,62446000000.0,17582000000.0,87855900000.0,77767700000.0,4984.9,147278.8,828235.1,1985628.1,2981420.7,483461.4,2158118.9,1643953.1,962273.0,83023.6,1337467.5,1535686.3
16.year_inc,-325986.1,-2092247.1,7919297.7,7144935.7,15349041.7,2487837.5,9669202.1,8269102.8,8381228.6,4134151.9,2850428.6,7079938.9,4479975.6,0.000892,0.0061600000000000005,0.00643,-0.0277,0.0155,0.0196,0.0211,0.0148,0.017,0.0127,-0.00877,0.0164,0.012,33167.5,166878.2,903799.1,1833916.6,2979101.7,552798.8,2023112.8,1562924.9,1033818.0,504233.0,260858.0,1416176.7,1392484.8,0.0104,0.0136,0.00599,0.00147,0.0218,0.0123,0.0291,0.0205,0.011,0.00818,0.00477,0.0233,0.0181,400865.2,243215.2,1903497.9,2264696.8,5150869.5,762539.2,3328956.0,2627238.4,2085790.0,993107.0,902274.9,2523631.1,2302540.3,-1480.0,-2719.0,40542.6,385100.5,421070.8,66370.4,347107.6,250673.9,65193.1,38651.5,-39340.3,170396.9,289507.4,-0.0041600000000000005,-0.00536,-0.000688,-0.00941,0.006509999999999999,0.0111,0.022,0.00336,0.00439,0.00575,-0.0285,0.0124,0.0142,29468843.7,207076865.0,1324500000.0,3239050000.0,16451400000.0,856033618.2,3285320000.0,2670600000.0,1790100000.0,956505523.6,441253463.5,2139450000.0,2163920000.0,22340499.9,3340180000.0,22995300000.0,56665400000.0,83304000000.0,16073600000.0,59566000000.0,44575000000.0,24491800000.0,3724650000.0,38728900000.0,42738500000.0,-32843604.2,1589530000.0,13047200000.0,28078400000.0,42683100000.0,9238780000.0,30448200000.0,22177700000.0,13121400000.0,2079310000.0,20505500000.0,20322900000.0,128553265.9,1253540000.0,3541620000.0,10795800000.0,15850100000.0,3112290000.0,9774660000.0,9514790000.0,5843220000.0,1208380000.0,6335330000.0,6894610000.0,1623896.9,563185775.9,3872890000.0,13206400000.0,17673200000.0,2921920000.0,13364500000.0,10151300000.0,4415630000.0,251547759.2,7521900000.0,10335700000.0,2789100000.0,19339600000.0,64721300000.0,108398000000.0,199300000000.0,36458300000.0,136308000000.0,98817000000.0,73123800000.0,23373500000.0,100483000000.0,89717900000.0,26415.1,124494.4,931101.9,2494687.2,3603430.4,622692.0,2605566.5,2061121.3,1163854.9,157684.2,1542309.1,1816883.5
18.year_inc,895141.1,-2340414.5,7578041.7,8193848.8,18002975.3,3049986.6,10933115.4,9613946.6,9732637.7,4794859.1,3533383.3,8389028.7,5220351.0,0.00105,0.006840000000000001,0.0103,-0.0197,0.0183,0.0224,0.0246,0.018,0.0206,0.0172,-0.00861,0.0186,0.0141,53734.4,183189.4,987889.2,2275512.0,3557790.9,664735.0,2382174.9,1904260.9,1250643.6,628259.8,356220.7,1653530.0,1642412.2,0.0108,0.0151,0.009470000000000001,-2.52e-05,0.0232,0.0108,0.0307,0.0213,0.011,0.00774,0.00494,0.0254,0.0191,529423.8,266628.6,1932262.5,2569742.1,5765913.0,870955.7,3615483.3,2891141.4,2395050.5,1135011.2,1105451.5,2874771.6,2499906.8,-1919.5,-1636.1,52861.5,487868.3,537366.3,91657.6,439649.0,322269.4,89958.1,53100.5,-28530.8,215096.8,355750.6,-0.00561,-0.0047799999999999995,0.00201,-0.008709999999999999,0.0108,0.0187,0.0306,0.00685,0.00919,0.00938,-0.0272,0.0173,0.0184,38875510.5,221697114.7,1630640000.0,4111670000.0,19361000000.0,1112450000.0,4146600000.0,3298080000.0,2253430000.0,1188220000.0,680900876.1,2723340000.0,2655540000.0,267148349.9,3753280000.0,24994500000.0,70083500000.0,99514300000.0,19544700000.0,70498000000.0,54237600000.0,30134900000.0,6208820000.0,45276700000.0,49834700000.0,28750339.8,1738540000.0,14066700000.0,34681500000.0,50532800000.0,11021500000.0,35570200000.0,26959500000.0,16163300000.0,3245940000.0,23573300000.0,23348000000.0,142768404.3,1446710000.0,4076310000.0,14058400000.0,19871300000.0,4187800000.0,12329400000.0,11790800000.0,7254630000.0,2254350000.0,8080440000.0,8428840000.0,19069316.2,636332945.8,4289190000.0,16420200000.0,21408000000.0,3643170000.0,16080200000.0,12431900000.0,5466580000.0,733325648.0,8976090000.0,12298300000.0,4289900000.0,20854000000.0,75593900000.0,132094000000.0,238278000000.0,43307000000.0,158037000000.0,121242000000.0,89333800000.0,31556200000.0,117036000000.0,105637000000.0,31287.9,165455.7,1080966.5,3211605.1,4532270.7,789888.6,3183953.8,2647896.0,1465906.3,338376.3,1884374.7,2276475.9
20.year_inc,2160268.9,-2264410.8,7137479.8,9108536.4,20327761.6,3576672.2,11899569.8,10705696.3,11071875.1,5430483.6,4232481.3,9622065.3,5679214.2,0.00115,0.00713,0.0114,-0.0135,0.0201,0.0212,0.027,0.0193,0.0229,0.0189,-0.00892,0.021,0.0157,72407.5,196277.7,979694.7,2660897.5,3977590.5,705775.0,2636444.1,2081402.0,1440447.5,715029.6,445833.9,1896188.5,1831368.0,0.0117,0.0141,0.0137,-0.000974,0.0242,0.0125,0.0309,0.023,0.012,0.00897,0.00733,0.0256,0.0188,684668.4,239048.3,1959246.0,2840951.7,6284911.0,1025301.9,3756114.6,3194847.0,2726842.9,1294099.0,1354062.6,3090064.0,2532766.1,-658.0,-957.2,65588.0,596411.1,660165.4,108129.5,527712.1,378225.1,118422.1,64714.9,-11122.5,281940.3,433613.8,-0.00349,-0.004079999999999999,0.006640000000000001,-0.00454,0.0173,0.0249,0.0411,0.0117,0.0154,0.0132,-0.0228,0.0265,0.0264,52909956.6,245871011.4,1711380000.0,4768530000.0,22626200000.0,1270410000.0,4518010000.0,3606540000.0,2663290000.0,1342710000.0,938089705.9,3211880000.0,2884720000.0,443360466.1,3848500000.0,24650200000.0,82809100000.0,112246000000.0,20789800000.0,79195500000.0,60019900000.0,34829700000.0,8456910000.0,52226100000.0,56626500000.0,19237539.6,1768490000.0,13469900000.0,40850600000.0,56141800000.0,11428400000.0,39516100000.0,29415400000.0,18293500000.0,4136180000.0,26726300000.0,26419900000.0,267417927.8,1571480000.0,4583970000.0,17276100000.0,23918500000.0,4745850000.0,14623600000.0,14386500000.0,8714770000.0,3039030000.0,9532060000.0,10457900000.0,41960813.7,658818223.1,4346020000.0,19418100000.0,24513700000.0,3991050000.0,18258200000.0,13948000000.0,6453800000.0,1271100000.0,10565700000.0,14068800000.0,6053170000.0,22885400000.0,76350300000.0,153387000000.0,265204000000.0,45641700000.0,171644000000.0,131466000000.0,103131000000.0,39686200000.0,133738000000.0,116431000000.0,46258.2,147029.6,1041794.1,3723726.1,5011584.8,840194.0,3548217.9,2861866.1,1650178.0,388432.4,2149718.7,2521212.8
