Unnamed: 0,n_startpop_5564,n_startpop_6574,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_college,p_cogstate1_f,p_cogstate1_his,p_cogstate1_his_f,p_cogstate1_hsless,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_college,n_cogstate1_f,n_cogstate1_his,n_cogstate1_his_f,n_cogstate1_hsless,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_college,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_his_f,n_nhmliv_dem_hsless,n_nhmliv_dem_m,n_nhmliv_dem_wht,p_nhmliv_dem_5564,p_nhmliv_dem_6574,p_nhmliv_dem_7584,p_nhmliv_dem_85p,p_nhmliv_dem_all,p_nhmliv_dem_blk,p_nhmliv_dem_college,p_nhmliv_dem_f,p_nhmliv_dem_his,p_nhmliv_dem_his_f,p_nhmliv_dem_hsless,p_nhmliv_dem_m,p_nhmliv_dem_wht,helphoursyr_dem_5564,helphoursyr_dem_6574,helphoursyr_dem_7584,helphoursyr_dem_85p,helphoursyr_dem_all,helphoursyr_dem_blk,helphoursyr_dem_college,helphoursyr_dem_f,helphoursyr_dem_his,helphoursyr_dem_his_f,helphoursyr_dem_hsless,helphoursyr_dem_m,helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_college,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_hsless,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_college,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_hsless,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_college,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_hsless,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_college,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_hsless,t_oopmd_dem_m,t_oopmd_dem_wht,t_qalys_dem_5564,t_qalys_dem_6574,t_qalys_dem_7584,t_qalys_dem_85p,t_qalys_dem_all,t_qalys_dem_blk,t_qalys_dem_college,t_qalys_dem_f,t_qalys_dem_his,t_qalys_dem_hsless,t_qalys_dem_m,t_qalys_dem_wht,t_est_helperct_dem_5564,t_est_helperct_dem_6574,t_est_helperct_dem_7584,t_est_helperct_dem_85p,t_est_helperct_dem_all,t_est_helperct_dem_blk,t_est_helperct_dem_college,t_est_helperct_dem_f,t_est_helperct_dem_his,t_est_helperct_dem_hsless,t_est_helperct_dem_m,t_est_helperct_dem_wht
2.year_inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.year_inc,-1018099.8,733557.8,1654741.0,751233.2,1992000.2,291043.3,1591526.9,1095245.8,1157627.7,589914.6,200498.2,896754.4,543329.3,0.00022200000000000003,0.00067,-0.00307,-0.00486,0.00162,0.0020800000000000003,0.00257,0.0013,0.0009880000000000002,0.000292,-0.0033799999999999998,0.00197,0.00132,-1648.1,45019.5,72746.2,192524.3,309022.9,56659.6,237487.2,148367.8,102106.0,51786.8,-20411.5,160655.1,150257.2,0.00233,0.00395,-0.00321,-0.00229,0.0037799999999999995,0.00203,0.00521,0.00293,0.0031899999999999997,0.0031899999999999997,0.0025399999999999997,0.00476,0.00303,10020.4,238872.8,280676.9,214014.6,752984.6,94175.4,541290.2,343229.5,306460.8,155894.0,95013.5,409755.1,352348.4,-971.5,-2921.5,-2734.7,28164.2,21145.1,4496.0,13949.1,6174.3,7133.4,5315.8,-9878.6,14970.8,9515.6,-0.00227,-0.00373,-0.00268,-0.005679999999999999,-0.00244,-0.000131,-0.0075,-0.0042899999999999995,0.00124,0.00268,-0.00387,0.000634,-0.00343,-22764965.2,58569957.9,172983444.5,282039831.1,1983100000.0,54348184.6,332469978.0,261261339.4,183982782.8,92704266.1,-34381734.0,233747030.4,256677402.5,-122797812.3,980323772.6,2071150000.0,4988520000.0,7902930000.0,1665570000.0,6142160000.0,3722100000.0,2414790000.0,-856599264.6,4180830000.0,3822570000.0,-85711494.7,377658094.9,1080730000.0,2435710000.0,3803670000.0,868372184.8,3378490000.0,1675010000.0,1181940000.0,-539753797.1,2128660000.0,1753360000.0,52070604.9,107264231.4,244332790.8,1277020000.0,1701250000.0,418395013.1,655415241.6,763442987.8,697704564.0,139691205.3,937803524.7,585146935.4,-8155515.1,208002704.0,367172605.4,1163950000.0,1729290000.0,318309604.2,1218490000.0,895164212.6,470009956.5,-151039997.2,834121085.8,940965737.7,137974411.2,5655270000.0,3908260000.0,14443400000.0,24186800000.0,4125510000.0,19001300000.0,10702700000.0,8171180000.0,-727487266.1,13484000000.0,11890100000.0,-11368.7,46345.2,57412.2,287203.9,382833.2,64085.7,280802.5,213078.4,117328.5,-25961.2,169754.8,201419.1
6.year_inc,-2048810.6,1053803.3,3574706.8,1328263.3,4116830.3,628695.7,3103733.2,2281556.6,2319316.2,1174784.9,484087.3,1835273.7,1168818.4,0.00035499999999999996,0.00227,-0.0035399999999999997,-0.00815,0.00361,0.00576,0.00532,0.00278,0.00386,0.0013800000000000002,-0.00442,0.00454,0.0025399999999999997,-7381.0,116023.0,225475.6,340627.0,680072.0,141986.6,493755.4,316842.9,242146.4,111067.5,4423.9,363229.1,295938.9,0.00455,0.00473,-0.00231,-0.0008029999999999999,0.00719,0.00243,0.0106,0.00646,0.00379,0.00296,0.00010400000000000001,0.008020000000000001,0.0063100000000000005,9677.4,307975.4,715204.5,408620.2,1490602.5,177170.5,1106063.4,747829.7,572972.5,281434.5,141028.0,742772.8,740459.5,-1623.5,-3545.4,5364.0,53842.4,53556.8,7632.6,46591.5,21294.8,15305.8,10809.1,-14600.3,32262.0,30618.4,-0.00352,-0.00527,-0.00214,-0.00804,-0.0039700000000000004,-0.00264,-0.0067599999999999995,-0.00645,0.00158,0.004529999999999999,-0.007520000000000001,0.000739,-0.00339,-22816458.2,78475991.4,341300646.5,541734459.4,4055530000.0,185082167.7,736292853.3,466739658.8,341922218.4,142712533.8,-18888554.7,464040998.9,403776271.5,-233973130.2,2726790000.0,5194800000.0,9279610000.0,16995800000.0,3983670000.0,12949400000.0,7988490000.0,5463740000.0,-741097337.9,9007300000.0,7548360000.0,-39089398.3,1435380000.0,2557600000.0,4175660000.0,8127040000.0,2136510000.0,6594500000.0,3802660000.0,2694560000.0,-790876031.5,4324380000.0,3295970000.0,-40407937.0,689921095.9,582851279.3,1669930000.0,2931180000.0,765937546.9,1548770000.0,1355340000.0,1332890000.0,334716302.6,1575840000.0,832353159.7,-28005177.5,428846155.3,1001820000.0,2293650000.0,3699210000.0,741015150.2,2803890000.0,1863190000.0,1036790000.0,-111644109.1,1836020000.0,1921410000.0,106267951.6,12589200000.0,15583300000.0,24386900000.0,53126500000.0,10398900000.0,38276600000.0,21711500000.0,19593200000.0,2362260000.0,31415000000.0,23134400000.0,-30756.1,91357.8,221276.5,460066.5,757112.3,143387.2,584526.4,454565.9,228222.0,-47328.9,302546.4,385503.1
8.year_inc,-2391429.2,578266.7,4957711.6,2381702.5,6620309.6,1020676.2,4733238.3,3669652.8,3580439.6,1799881.9,898212.8,2950656.8,2019193.7,0.00049,0.0040100000000000005,-0.0041,-0.0157,0.005679999999999999,0.00873,0.00834,0.00469,0.0063,0.0027600000000000003,-0.00634,0.006790000000000001,0.00403,-5800.4,169735.1,328400.4,582945.6,1091920.9,224920.4,784285.2,531451.9,387904.5,178094.4,32825.6,560469.0,479096.0,0.0062,0.00763,-0.00145,-0.0027300000000000002,0.0106,0.00628,0.0147,0.00999,0.00545,0.00519,0.00309,0.0113,0.00886,44180.3,361708.4,1035642.4,716722.5,2295713.6,323431.4,1596166.3,1188168.3,884040.3,441022.5,305959.4,1107545.4,1088241.9,-894.3,-3185.7,12237.0,122056.4,130352.6,22714.0,99233.4,66826.0,23221.7,14315.1,-15665.6,63526.6,84416.9,-0.00199,-0.00563,-0.00137,-0.00406,-0.00022400000000000002,0.00288,-0.000392,-0.00283,0.0017,0.0038299999999999996,-0.00913,0.00495,0.00251,-17613989.5,119357950.5,500023156.2,985301421.9,6179630000.0,327898186.4,1106050000.0,817796591.9,612620878.8,306866160.4,22655906.3,785036320.8,662313847.5,-254514003.6,3852950000.0,7909680000.0,17521100000.0,29143900000.0,6262520000.0,21576900000.0,14287700000.0,9067560000.0,-120366521.2,14856200000.0,13813900000.0,-46957226.0,1939410000.0,3920380000.0,7912890000.0,13734600000.0,3505840000.0,10825900000.0,6681490000.0,4538400000.0,-464280701.1,7053150000.0,5690390000.0,-90587255.4,730102947.2,1211170000.0,3696660000.0,5604570000.0,1119530000.0,3013120000.0,2931150000.0,2220020000.0,468783275.6,2673430000.0,2265020000.0,-33564693.9,627678129.2,1532210000.0,4315540000.0,6453180000.0,1148880000.0,4764130000.0,3323120000.0,1672010000.0,-70710910.5,3130060000.0,3632280000.0,-37181570.6,19374900000.0,22529100000.0,39192500000.0,82641000000.0,15854900000.0,59861900000.0,37686700000.0,30770100000.0,5489010000.0,44954400000.0,36016100000.0,-12108.0,119921.1,322539.7,805132.2,1250210.3,249837.3,923562.1,670330.9,413071.5,-16951.2,579879.4,587301.5
10.year_inc,-2406207.4,-74123.8,6129462.3,3675956.0,9073239.9,1374341.3,6262423.8,4970439.7,4796860.6,2391918.0,1349797.5,4102800.1,2902037.9,0.000546,0.00509,-0.000883,-0.0248,0.00836,0.0129,0.0111,0.00743,0.0098,0.00566,-0.00627,0.00942,0.0059700000000000005,-3773.3,190830.4,521075.3,861180.6,1594095.0,324108.4,1062382.2,805495.0,558793.3,260569.7,96484.7,788600.0,711193.4,0.00804,0.0105,0.00305,-0.0035299999999999997,0.0149,0.009179999999999999,0.0204,0.0141,0.00755,0.00557,0.00337,0.0158,0.0129,114467.8,390111.3,1418510.1,1109768.2,3235633.7,449254.7,2216251.4,1667394.0,1198551.7,575727.5,441367.2,1568239.7,1587827.2,-1552.6,-927.8,23613.5,182396.7,203297.9,28318.0,155285.7,114164.7,31048.0,19445.2,-23814.5,89133.2,143931.9,-0.00345,-0.00395,-0.00031600000000000004,-0.0053100000000000005,0.00134,0.0011300000000000001,0.00639,-0.00135,0.000671,0.0033399999999999997,-0.0157,0.00636,0.007520000000000001,-12323348.1,123724450.1,672342831.5,1428910000.0,8433260000.0,456084441.9,1484090000.0,1184760000.0,851812556.9,438071254.3,136306104.7,1038020000.0,914888987.8,-320706934.7,4375630000.0,12514000000.0,25664000000.0,42383700000.0,8993460000.0,29386500000.0,22009900000.0,12871600000.0,871139982.4,20373700000.0,20518600000.0,-46743239.7,1996180000.0,6368410000.0,11714900000.0,20042400000.0,5136660000.0,14550000000.0,10120300000.0,6400400000.0,11344858.0,9922120000.0,8505350000.0,-136655745.1,976462386.5,2176300000.0,5023390000.0,8113990000.0,1540980000.0,4328990000.0,4388370000.0,3090530000.0,606899686.2,3725620000.0,3482470000.0,-35554316.3,789659433.4,2323870000.0,6306580000.0,9400460000.0,1603300000.0,6619760000.0,5218490000.0,2432340000.0,42631062.4,4181970000.0,5364820000.0,308829368.3,22389600000.0,38734100000.0,57258100000.0,121091000000.0,23534000000.0,79825600000.0,58148600000.0,43605500000.0,12135800000.0,62941900000.0,53951000000.0,-579.4,135447.5,493471.7,1155271.9,1806552.2,351117.9,1299464.2,1035762.4,597851.3,17223.0,770789.8,857583.1
12.year_inc,-2252318.1,-409709.5,7211472.8,4852527.9,11327964.4,1720203.6,7577453.9,6177306.0,6014823.1,2979012.0,1819503.9,5150658.4,3592937.8,0.000867,0.00587,0.00195,-0.027,0.0113,0.0158,0.0151,0.0097,0.0138,0.00848,-0.008320000000000001,0.013,0.00824,10435.2,209815.0,701534.1,1177233.8,2126252.4,405782.0,1437345.4,1046494.3,750702.6,345059.1,127818.5,1079758.1,969767.8,0.00954,0.0101,0.00551,-0.0017,0.0178,0.0106,0.0234,0.0169,0.00897,0.00717,0.00526,0.0188,0.0153,186995.7,331776.1,1730099.4,1499261.1,3972020.4,552647.1,2611779.7,2048714.7,1503158.3,723681.1,608770.6,1923305.7,1916215.0,-1091.8,-1230.2,21188.2,247659.6,266948.7,39653.2,201919.2,146250.6,42724.3,25715.7,-32187.5,120698.1,184571.2,-0.00277,-0.0044399999999999995,-0.00427,-0.00692,0.00117,0.00366,0.005229999999999999,-0.00212,0.00117,0.00373,-0.0206,0.007890000000000001,0.00733,21607530.9,152780203.8,963886255.5,2005050000.0,10857200000.0,620995874.1,2227990000.0,1752720000.0,1155970000.0,603220561.4,185527663.2,1396090000.0,1371840000.0,-170278132.3,4766370000.0,16236500000.0,35108400000.0,56129000000.0,11433600000.0,39441300000.0,28056700000.0,17222500000.0,986458298.5,28072300000.0,27473000000.0,-43120800.1,2183470000.0,8507280000.0,15886000000.0,26533400000.0,6371050000.0,19603200000.0,12837700000.0,8719410000.0,-124317438.9,13695700000.0,11443000000.0,-42797113.7,1291470000.0,2391600000.0,7662350000.0,11390500000.0,2181570000.0,6174000000.0,6459090000.0,4268900000.0,902078912.4,4931380000.0,4940000000.0,-11032691.9,823620744.4,2907930000.0,8661920000.0,12403600000.0,2078810000.0,8839780000.0,6675630000.0,3179180000.0,64572589.2,5727930000.0,7145580000.0,1043290000.0,24357800000.0,54628000000.0,79207200000.0,161927000000.0,29667500000.0,107976000000.0,75747500000.0,58328400000.0,16992000000.0,86179100000.0,73930800000.0,2516.8,135944.6,656165.2,1586252.9,2404016.2,417625.5,1760747.1,1338813.8,773813.7,1836.9,1065202.4,1212577.0
14.year_inc,-1402313.9,-1214086.9,7783258.2,6240594.7,13589358.0,2090216.4,8779913.6,7395784.7,7196735.3,3563810.2,2333713.7,6193573.4,4302406.3,0.000951,0.006790000000000001,0.0041600000000000005,-0.0286,0.014,0.0177,0.0184,0.013,0.0167,0.0119,-0.006529999999999999,0.0152,0.0107,23340.7,217984.0,821398.9,1558906.5,2653693.6,476849.3,1763268.2,1367426.2,919728.4,440047.5,228097.2,1286267.4,1257115.9,0.0101,0.0127,0.00703,-0.00022999999999999998,0.0208,0.0139,0.0276,0.0198,0.00953,0.0064,0.0043100000000000005,0.0219,0.0179,286979.0,324674.6,1904215.7,1954147.9,4734048.5,692189.4,3100030.3,2443654.2,1782881.1,844398.8,743775.4,2290394.3,2258978.0,587.9,-484.0,35664.0,318056.9,353302.7,55277.9,259754.8,195454.7,50626.1,29532.3,-24679.6,157848.0,247398.7,0.00059,-0.00399,-0.000938,-0.0106,0.0036299999999999995,0.00891,0.00907,-0.00159,0.000603,0.0014199999999999998,-0.0209,0.0124,0.0105,4115727.5,178929909.1,1062590000.0,2600260000.0,13423200000.0,692494057.8,2671550000.0,2201990000.0,1412660000.0,729115376.3,282990351.7,1651510000.0,1748340000.0,49109998.1,4679050000.0,19623500000.0,45995600000.0,70575500000.0,13471500000.0,48886200000.0,36796800000.0,21179300000.0,3369060000.0,33778700000.0,35924600000.0,-1039185.2,1801920000.0,9995170000.0,21055600000.0,32854900000.0,7389690000.0,23987200000.0,16874700000.0,10658300000.0,840594835.6,15980200000.0,14806900000.0,36701263.0,1469870000.0,2887180000.0,9307820000.0,13765700000.0,2700380000.0,7637190000.0,7710630000.0,5068960000.0,1551290000.0,6055040000.0,5996340000.0,15468632.4,898323733.8,3608630000.0,11208700000.0,15752600000.0,2548820000.0,11127500000.0,8691380000.0,3877000000.0,520589897.0,7061230000.0,9326790000.0,2093900000.0,25333900000.0,62902400000.0,103250000000.0,196624000000.0,34329400000.0,129465000000.0,95846300000.0,68343500000.0,24218700000.0,100778000000.0,93951400000.0,4547.2,138046.8,831315.6,2099009.1,3088292.1,503438.1,2196685.1,1723846.6,977612.5,92316.2,1364445.5,1607241.5
16.year_inc,-323275.3,-2022458.8,8112764.2,7540394.6,16010466.1,2556109.4,10027634.8,8633206.0,8418396.3,4156242.4,2935678.5,7377260.1,5035960.4,0.0009119999999999999,0.0073,0.007559999999999999,-0.0237,0.0172,0.0218,0.0221,0.0164,0.0194,0.0145,-0.0052,0.018,0.0134,34002.9,210143.5,956903.4,2015218.3,3257608.3,595673.1,2127004.0,1711663.7,1096781.3,529370.9,334337.2,1545944.7,1565154.0,0.0104,0.0149,0.00809,0.0008029999999999999,0.023,0.013,0.0305,0.0218,0.012,0.00987,0.00426,0.0244,0.0195,399460.1,301106.5,2011045.7,2378788.5,5428995.2,789993.2,3487264.9,2782750.7,2120802.0,1019496.2,918203.6,2646244.5,2518200.1,-1304.9,-1288.0,42177.9,433784.8,472996.4,71789.8,363028.3,281117.3,72434.1,41168.2,-27040.2,191879.1,328772.5,-0.0038299999999999996,-0.00465,-0.0009019999999999999,-0.00783,0.00821,0.0118,0.0219,0.00481,0.00573,0.0061,-0.0258,0.0145,0.0161,28567179.7,230360662.0,1227900000.0,3340910000.0,16166800000.0,821431294.7,3286910000.0,2725130000.0,1778840000.0,963025228.7,440633959.9,2112620000.0,2237480000.0,48616977.6,4256790000.0,23064000000.0,60412600000.0,88061200000.0,16768100000.0,60883000000.0,47154000000.0,25450300000.0,5315150000.0,40907200000.0,45842800000.0,-33185805.8,1551790000.0,12039000000.0,27580000000.0,41140100000.0,9004080000.0,29305600000.0,21270100000.0,12700000000.0,1962950000.0,19870000000.0,19436000000.0,84208363.6,1522360000.0,3959690000.0,12766300000.0,18464900000.0,3534020000.0,10554900000.0,11116200000.0,6476240000.0,2170870000.0,7348660000.0,8454640000.0,12663715.2,852497451.0,4152350000.0,14815800000.0,19862600000.0,3238580000.0,14218600000.0,11386100000.0,4821590000.0,801640846.0,8476440000.0,11802400000.0,2958080000.0,24290100000.0,73842100000.0,128186000000.0,233341000000.0,41948300000.0,150609000000.0,117019000000.0,80459800000.0,31415900000.0,116323000000.0,110933000000.0,24804.9,151737.5,957540.9,2681613.1,3842845.8,658115.2,2700321.6,2182629.6,1200751.1,210069.9,1660216.2,1983979.5
18.year_inc,897378.7,-2260040.0,7814779.9,8711689.8,18840166.7,3147853.3,11401008.3,10087074.7,9774620.2,4822311.8,3633154.7,8753092.0,5917693.2,0.00106,0.00783,0.0119,-0.0161,0.0202,0.0253,0.0258,0.02,0.0232,0.0199,-0.00487,0.0204,0.0157,54213.0,221216.5,1062513.9,2494194.4,3889603.7,724230.6,2514630.9,2092793.1,1322920.8,665984.8,437037.7,1796810.6,1842452.3,0.0109,0.0173,0.0118,0.00151,0.0251,0.0112,0.0324,0.0232,0.0134,0.00967,0.0062,0.0272,0.0212,532113.0,352863.6,2057772.4,2758599.0,6169204.1,901403.8,3823514.1,3112050.5,2467185.1,1166868.7,1156962.5,3057153.6,2800615.2,-1333.8,-1597.3,56394.7,558366.1,612021.7,100740.5,477038.5,365506.4,95212.7,54571.3,-15614.7,246515.3,416068.5,-0.00442,-0.005229999999999999,0.00205,-0.00462,0.0138,0.0203,0.0343,0.009340000000000001,0.00935,0.0085,-0.0246,0.0211,0.0229,39892574.1,224726316.3,1515250000.0,4301970000.0,19030700000.0,1112730000.0,4091890000.0,3365260000.0,2247340000.0,1217450000.0,729048430.3,2735350000.0,2740540000.0,243086365.7,4515760000.0,25580100000.0,75003500000.0,105762000000.0,20704700000.0,72776600000.0,57933100000.0,30983900000.0,7818530000.0,47828700000.0,54073200000.0,-2736470.4,1716100000.0,13224100000.0,34292000000.0,49247000000.0,10958500000.0,34610600000.0,26090800000.0,15684200000.0,3157290000.0,23156200000.0,22604300000.0,102712784.6,1706450000.0,4586550000.0,16613400000.0,23157200000.0,4663410000.0,13524600000.0,14273200000.0,8034080000.0,3363980000.0,8883990000.0,10459700000.0,25901615.8,864019116.8,4712650000.0,18432300000.0,24078700000.0,4076890000.0,17246300000.0,14054300000.0,5844380000.0,1272530000.0,10024400000.0,14157400000.0,4491610000.0,25374600000.0,86272900000.0,155739000000.0,277327000000.0,50297100000.0,175191000000.0,142876000000.0,97355300000.0,39637500000.0,134451000000.0,129675000000.0,27541.8,183836.1,1113616.6,3455648.1,4823677.8,835476.2,3297857.1,2838509.9,1499729.4,404415.6,1985168.0,2488472.2
20.year_inc,2168744.4,-2173150.5,7413798.8,9755160.0,21350440.1,3707471.5,12492146.1,11281465.3,11131613.9,5477611.4,4350266.7,10068974.8,6511354.8,0.00116,0.00835,0.0149,-0.009170000000000001,0.0227,0.0248,0.0287,0.0223,0.0266,0.0227,-0.00346,0.0231,0.0179,73113.1,242896.6,1112383.6,2937598.5,4434304.9,783068.5,2817849.1,2363511.1,1547326.2,772161.2,563583.7,2070793.7,2103910.1,0.0117,0.0167,0.0143,0.000621,0.026,0.0137,0.0329,0.0248,0.0135,0.0113,0.006790000000000001,0.0273,0.0208,686587.1,343183.4,2039953.7,3071642.3,6702363.1,1078195.2,3997092.1,3422325.2,2781131.1,1337020.6,1378956.0,3280037.8,2843036.7,-271.8,-420.2,73366.2,691626.7,764082.4,122870.4,574846.9,456335.2,128922.7,70339.2,2148.1,307747.2,512289.3,-0.00278,-0.00421,0.00678,0.0011,0.0212,0.028,0.0446,0.0174,0.0166,0.0142,-0.0215,0.0279,0.0313,38109530.3,267988915.5,1745100000.0,5039590000.0,22237300000.0,1286870000.0,4606140000.0,3832040000.0,2745950000.0,1412190000.0,1084730000.0,3298410000.0,3097630000.0,425304169.4,5196260000.0,27257200000.0,89746800000.0,123125000000.0,22720900000.0,82943900000.0,67092700000.0,36914300000.0,11274900000.0,56031900000.0,63489400000.0,-10189091.3,2192660000.0,13866400000.0,41300100000.0,57383600000.0,11750000000.0,39226000000.0,30236100000.0,18478400000.0,4887880000.0,27147500000.0,27155200000.0,199070460.5,1883910000.0,5285470000.0,20715100000.0,28303600000.0,5606380000.0,15980200000.0,17524400000.0,9769870000.0,4268190000.0,10779200000.0,12927400000.0,49928177.7,931616843.5,5043040000.0,21952900000.0,28026700000.0,4570340000.0,19737900000.0,16300800000.0,7056450000.0,1948380000.0,11725800000.0,16399900000.0,6287720000.0,27093200000.0,90858400000.0,181178000000.0,311940000000.0,53480400000.0,193247000000.0,158307000000.0,113216000000.0,49684900000.0,153634000000.0,145244000000.0,40668.0,181426.7,1119177.0,4012726.1,5406854.3,897152.8,3665239.9,3167804.9,1736645.3,482774.1,2239049.3,2773056.2
