,n_startpop_5564,n_startpop_6574,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_college,p_cogstate1_f,p_cogstate1_his,p_cogstate1_his_f,p_cogstate1_hsless,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_college,n_cogstate1_f,n_cogstate1_his,n_cogstate1_his_f,n_cogstate1_hsless,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_college,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_his_f,n_nhmliv_dem_hsless,n_nhmliv_dem_m,n_nhmliv_dem_wht,p_nhmliv_dem_5564,p_nhmliv_dem_6574,p_nhmliv_dem_7584,p_nhmliv_dem_85p,p_nhmliv_dem_all,p_nhmliv_dem_blk,p_nhmliv_dem_college,p_nhmliv_dem_f,p_nhmliv_dem_his,p_nhmliv_dem_his_f,p_nhmliv_dem_hsless,p_nhmliv_dem_m,p_nhmliv_dem_wht,helphoursyr_dem_5564,helphoursyr_dem_6574,helphoursyr_dem_7584,helphoursyr_dem_85p,helphoursyr_dem_all,helphoursyr_dem_blk,helphoursyr_dem_college,helphoursyr_dem_f,helphoursyr_dem_his,helphoursyr_dem_his_f,helphoursyr_dem_hsless,helphoursyr_dem_m,helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_college,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_hsless,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_college,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_hsless,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_college,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_hsless,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_college,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_hsless,t_oopmd_dem_m,t_oopmd_dem_wht,t_qalys_dem_5564,t_qalys_dem_6574,t_qalys_dem_7584,t_qalys_dem_85p,t_qalys_dem_all,t_qalys_dem_blk,t_qalys_dem_college,t_qalys_dem_f,t_qalys_dem_his,t_qalys_dem_hsless,t_qalys_dem_m,t_qalys_dem_wht,t_est_helperct_dem_5564,t_est_helperct_dem_6574,t_est_helperct_dem_7584,t_est_helperct_dem_85p,t_est_helperct_dem_all,t_est_helperct_dem_blk,t_est_helperct_dem_college,t_est_helperct_dem_f,t_est_helperct_dem_his,t_est_helperct_dem_hsless,t_est_helperct_dem_m,t_est_helperct_dem_wht
2.year_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.year_inc,-1018100.1,733557.0,1654740.6,751233.2,1991998.8,291043.0,1591526.2,1095244.8,1157627.4,589914.3,200497.8,896754.0,543328.4,0.000222,0.000558,-0.00307,-0.00485,0.00158,0.00205,0.00254,0.00131,0.000884,0.000240,-0.00344,0.00189,0.00130,-1648.1,40733.1,72740.8,192563.8,304770.5,56170.4,234723.7,148800.7,100302.1,51316.2,-21377.3,155969.8,148298.0,0.00233,0.00385,-0.00341,-0.00212,0.00373,0.00197,0.00517,0.00285,0.00313,0.00311,0.00237,0.00473,0.00298,10020.3,235165.4,275787.7,215671.5,746044.9,93392.5,538115.6,338012.7,305471.3,155217.8,92476.7,408032.2,347181.0,-1138.1,-2921.5,-2734.7,29249.0,22063.2,4335.4,14317.0,7106.7,7220.3,5402.7,-9851.3,14956.5,10507.5,-0.00267,-0.00362,-0.00269,-0.00534,-0.00224,-0.000224,-0.00721,-0.00407,0.00140,0.00288,-0.00381,0.000754,-0.00313,-22193730.1,57457159.8,176395487.9,289821957.2,1.98310e+09,62359678.1,335475450.8,272110322.4,177962760.6,89043005.2,-32586371.2,233548833.4,265336717.0,-99005420.7,958507934.6,2.20886e+09,5.33567e+09,8.38720e+09,1.78498e+09,6.30379e+09,4.07417e+09,2.38211e+09,-785062104.7,4.31303e+09,4.22011e+09,-69448874.3,426966938.4,1.25859e+09,2.88820e+09,4.49830e+09,1.03710e+09,3.60220e+09,2.13821e+09,1.22859e+09,-376698985.1,2.36009e+09,2.23261e+09,67386197.1,95118043.0,224056141.8,1.25455e+09,1.65859e+09,436373796.3,680412584.2,731077617.8,651568973.0,62146692.6,927509972.9,570644821.4,-8625236.6,184659451.5,356321349.1,1.15683e+09,1.68710e+09,308089315.5,1.20292e+09,890305486.1,449820616.4,-166807270.2,796791864.2,929187418.4,71632976.7,4.93531e+09,3.28637e+09,1.31861e+10,2.15161e+10,3.67476e+09,1.79000e+10,9.49665e+09,7.73816e+09,-1.39162e+09,1.20194e+10,1.01032e+10,-9965.6,44495.8,56002.2,291352.7,385046.0,64527.2,281887.9,215763.7,118463.7,-25981.5,169282.3,202055.1
6.year_inc,-2051896.7,1045698.2,3566987.4,1307442.5,4077098.8,621927.0,3085632.2,2256689.7,2315748.6,1175202.7,475436.8,1820409.1,1139423.3,0.000339,0.00221,-0.00363,-0.00788,0.00355,0.00566,0.00522,0.00277,0.00377,0.00137,-0.00452,0.00443,0.00250,-8004.4,113265.2,222654.6,336856.6,670099.4,139887.0,485332.4,314582.0,240174.9,110997.6,1681.5,355517.3,290037.5,0.00453,0.00444,-0.00246,-0.00116,0.00701,0.00209,0.0105,0.00619,0.00351,0.00259,-0.000138,0.00795,0.00617,8981.4,295845.7,709607.5,398416.2,1461975.9,170752.8,1096348.0,725692.6,567013.4,277917.3,134878.5,736283.2,724209.7,-1623.5,-3658.0,3416.1,49865.5,47519.4,6506.5,44329.9,17980.7,14039.7,9746.0,-15998.7,29538.7,26973.2,-0.00348,-0.00540,-0.00299,-0.00901,-0.00464,-0.00330,-0.00722,-0.00717,0.000785,0.00327,-0.00801,0.000118,-0.00401,-22616694.5,74035334.2,355794889.7,570051458.3,4.07342e+09,183860073.0,745814052.0,482269717.2,359035353.4,150435690.4,-9191127.9,487055365.3,426429656.1,-249534411.7,2.81566e+09,5.46825e+09,9.55313e+09,1.76144e+10,4.06110e+09,1.30655e+10,8.27937e+09,5.62725e+09,-559301311.3,9.33502e+09,7.92604e+09,-28117822.4,1.66417e+09,3.08127e+09,5.02052e+09,9.73544e+09,2.42608e+09,7.06687e+09,4.62532e+09,3.07316e+09,-299414988.9,5.11012e+09,4.23621e+09,-33300787.6,626080524.2,572775121.6,1.41790e+09,2.61089e+09,707742506.5,1.42619e+09,1.12433e+09,1.22940e+09,209588793.5,1.48655e+09,673745431.3,-34653060.6,395483805.7,940030239.8,2.11663e+09,3.42026e+09,676415638.5,2.69690e+09,1.71165e+09,986750995.3,-185087203.8,1.70861e+09,1.75709e+09,22398184.4,1.18594e+10,1.36409e+10,2.18269e+10,4.78162e+10,9.45274e+09,3.56925e+10,1.91793e+10,1.87109e+10,1.07906e+09,2.86369e+10,1.96526e+10,-28562.2,87809.4,222539.3,459437.5,755961.6,142268.7,586402.4,449019.2,232818.4,-47040.8,306942.3,380874.5
8.year_inc,-2400221.9,556327.9,4921422.2,2313103.4,6484689.5,1002253.2,4666595.7,3598533.6,3563152.7,1795217.1,873923.1,2886155.9,1919283.6,0.000466,0.00357,-0.00425,-0.0155,0.00540,0.00803,0.00825,0.00443,0.00567,0.00207,-0.00747,0.00650,0.00389,-6819.8,152140.2,321401.2,563890.2,1047251.9,212785.0,774905.2,508311.4,374018.5,170542.8,12174.7,538940.5,460448.5,0.00618,0.00735,-0.00183,-0.00387,0.0102,0.00597,0.0144,0.00959,0.00488,0.00503,0.00304,0.0110,0.00854,42568.2,348027.2,1017637.4,682771.4,2228464.2,314626.4,1563022.7,1150017.6,868901.2,438272.2,298055.8,1078446.6,1044936.7,-1120.4,-3408.2,9419.4,111861.4,116891.3,18704.6,96984.7,57384.1,21532.5,13050.6,-19282.0,59507.2,76654.3,-0.00250,-0.00562,-0.00238,-0.00582,-0.00129,0.000866,-0.000790,-0.00429,0.00111,0.00281,-0.00987,0.00431,0.00141,-15827450.6,118903921.3,503657284.5,994236230.0,6.24569e+09,316375689.5,1.14300e+09,829321697.2,608385332.0,306762387.2,-2693918.6,787414376.1,691975051.7,-267282891.9,3.55376e+09,8.08631e+09,1.75759e+10,2.90589e+10,6.08868e+09,2.18784e+10,1.41824e+10,8.97748e+09,-433422743.0,1.48766e+10,1.39928e+10,-45350394.8,2.02482e+09,4.42056e+09,8.88609e+09,1.52963e+10,3.71868e+09,1.15076e+10,7.54849e+09,4.81989e+09,-114604954.8,7.74778e+09,6.75770e+09,-61086609.2,622822382.8,1.05588e+09,3.15932e+09,4.83060e+09,899323425.4,2.88109e+09,2.38122e+09,2.04205e+09,107160971.4,2.44939e+09,1.88923e+09,-40619988.5,524188419.8,1.45035e+09,4.01740e+09,5.96205e+09,1.01618e+09,4.67243e+09,3.02476e+09,1.57553e+09,-259577636.0,2.93729e+09,3.37035e+09,-238955443.1,1.76769e+10,1.99263e+10,3.48960e+10,7.38524e+10,1.41750e+10,5.64886e+10,3.33125e+10,2.89098e+10,2.94082e+09,4.05399e+10,3.07675e+10,-13430.6,112635.1,333331.4,780403.4,1227844.1,237108.5,937889.7,641818.9,405814.3,-35181.8,586025.2,584921.3
10.year_inc,-2411810.7,-119035.8,6044575.0,3545271.7,8807153.0,1344394.5,6130866.1,4824784.1,4771025.3,2380555.3,1299453.2,3982368.9,2691733.2,0.000548,0.00473,-0.00151,-0.0258,0.00781,0.0119,0.0109,0.00690,0.00855,0.00466,-0.00832,0.00883,0.00562,-3723.1,176035.1,495390.2,810368.1,1502852.4,305832.5,1042534.6,758214.2,530273.0,248613.0,57328.2,744638.2,666746.8,0.00800,0.00921,0.00247,-0.00348,0.0142,0.00870,0.0197,0.0134,0.00703,0.00457,0.00313,0.0151,0.0121,112349.5,334586.1,1383545.8,1070234.3,3103492.1,435072.1,2146561.9,1596431.7,1181651.5,562307.5,422899.5,1507060.4,1486768.4,-1552.6,-1047.1,21858.5,166478.2,185505.2,23163.4,150879.8,103470.2,29449.0,18449.0,-27455.6,82035.0,132892.8,-0.00345,-0.00386,-0.000633,-0.00651,0.000505,-0.00115,0.00582,-0.00221,0.000703,0.00306,-0.0157,0.00551,0.00668,-10381599.2,140733319.3,702425672.0,1.42285e+09,8.53975e+09,449308858.9,1.53390e+09,1.22450e+09,860121997.0,441027810.4,126772450.1,1.04116e+09,956230974.3,-308878253.9,4.36699e+09,1.27115e+10,2.52295e+10,4.21465e+10,8.80768e+09,2.98334e+10,2.17767e+10,1.27437e+10,346822646.6,2.03698e+10,2.05951e+10,-30487836.2,2.24352e+09,7.10453e+09,1.27195e+10,2.20464e+10,5.41664e+09,1.56551e+10,1.11441e+10,6.76907e+09,247523186.8,1.09022e+10,9.86064e+09,-73265806.6,912049545.0,1.97637e+09,4.21358e+09,7.10196e+09,1.29490e+09,4.10021e+09,3.76541e+09,2.85500e+09,163919609.3,3.33655e+09,2.95206e+09,-43534712.6,725374072.5,2.18134e+09,5.82332e+09,8.70207e+09,1.45176e+09,6.43346e+09,4.82196e+09,2.29271e+09,-181683351.5,3.88012e+09,4.95760e+09,149779767.0,1.97623e+10,3.38359e+10,4.94072e+10,1.05557e+11,2.07568e+10,7.44302e+10,5.03978e+10,3.97529e+10,7.15056e+09,5.51593e+10,4.50475e+10,3131.4,138158.1,493498.4,1122470.3,1780119.0,345107.0,1299776.6,1001452.8,573305.1,1634.2,778666.2,861706.9
12.year_inc,-2258901.5,-466224.9,7097156.7,4647406.7,10945428.5,1678085.2,7372775.9,5972486.2,5980284.3,2964570.1,1755758.7,4972942.3,3287058.9,0.000863,0.00530,0.00124,-0.0287,0.0104,0.0145,0.0147,0.00893,0.0127,0.00737,-0.0103,0.0121,0.00755,10195.7,186624.2,669860.1,1095717.2,1989631.4,381000.7,1391672.1,977065.7,722019.3,331055.0,87972.5,1012565.8,886611.4,0.00958,0.00879,0.00438,-0.000869,0.0170,0.0101,0.0226,0.0163,0.00761,0.00592,0.00446,0.0179,0.0146,187961.2,275323.6,1671250.9,1446552.1,3804975.9,535497.8,2522478.4,1970933.6,1464866.8,705981.0,576969.0,1834042.3,1804611.4,-1091.8,-732.4,18865.2,218632.2,236096.0,37655.2,188881.7,127780.2,41469.1,24411.0,-36424.3,108315.8,156971.8,-0.00278,-0.00380,-0.00456,-0.00956,-0.000507,0.00372,0.00322,-0.00388,0.00137,0.00343,-0.0210,0.00631,0.00437,24813072.7,162239565.1,1.03702e+09,1.92921e+09,1.09889e+10,610997916.9,2.20972e+09,1.72974e+09,1.17422e+09,611162808.3,175662135.7,1.42885e+09,1.37337e+09,-157076419.4,4.41664e+09,1.65399e+10,3.36320e+10,5.46194e+10,1.12281e+10,3.91863e+10,2.71189e+10,1.70372e+10,489991894.8,2.75005e+10,2.63541e+10,-23581633.3,2.28589e+09,9.39182e+09,1.68202e+10,2.84749e+10,6.68744e+09,2.06092e+10,1.38995e+10,9.10657e+09,257033189.2,1.45753e+10,1.26809e+10,17088500.6,1.19052e+09,2.20636e+09,6.54886e+09,1.00511e+10,1.97746e+09,5.83217e+09,5.48327e+09,4.05158e+09,429906416.3,4.56779e+09,4.02202e+09,-19317217.0,698014680.4,2.77140e+09,7.78175e+09,1.12529e+10,1.92154e+09,8.41484e+09,5.99087e+09,3.03209e+09,-185000317.3,5.26207e+09,6.29931e+09,874040538.8,2.09577e+10,4.84414e+10,6.85652e+10,1.41529e+11,2.62153e+10,1.00134e+11,6.61396e+10,5.38208e+10,1.18433e+10,7.53890e+10,6.14925e+10,4641.8,139078.2,654292.8,1495598.0,2316667.8,406901.9,1713264.4,1259555.6,784145.4,-9951.5,1057112.2,1125620.5
14.year_inc,-1406310.3,-1297120.0,7629784.9,5930697.4,13038957.8,2036892.3,8487681.0,7080674.8,7153005.5,3541522.4,2250807.0,5958283.0,3849060.0,0.000936,0.00616,0.00335,-0.0299,0.0130,0.0161,0.0179,0.0119,0.0148,0.00962,-0.00907,0.0143,0.0100,22703.2,192337.5,782939.7,1448707.1,2478751.0,446018.6,1707345.5,1267597.2,871453.3,410468.0,174254.8,1211153.8,1161279.1,0.0101,0.0108,0.00548,-0.00183,0.0194,0.0132,0.0263,0.0184,0.00813,0.00583,0.00286,0.0206,0.0163,288507.2,245998.9,1822361.2,1833244.2,4454142.7,667900.6,2956785.6,2289699.2,1740215.2,832567.6,695540.8,2164443.5,2046026.9,651.4,-1662.2,34497.7,284578.1,317542.9,50823.5,250237.8,171263.8,46465.8,26571.5,-35414.8,146279.1,220253.7,0.000736,-0.00471,-0.000569,-0.0127,0.00205,0.00798,0.00855,-0.00350,-0.000144,0.000561,-0.0237,0.0112,0.00830,6854584.9,196297481.0,1.12949e+09,2.55164e+09,1.36319e+10,681490849.8,2.69857e+09,2.19265e+09,1.44958e+09,748164114.2,302224343.7,1.69924e+09,1.76082e+09,44053550.9,4.23337e+09,2.00518e+10,4.41568e+10,6.87112e+10,1.30520e+10,4.90232e+10,3.54345e+10,2.07479e+10,2.35363e+09,3.32767e+10,3.49113e+10,19863340.2,1.96875e+09,1.11965e+10,2.21826e+10,3.53733e+10,7.63624e+09,2.55874e+10,1.80648e+10,1.11314e+10,1.13443e+09,1.73085e+10,1.66057e+10,69398799.4,1.18328e+09,2.58832e+09,7.85561e+09,1.17608e+10,2.45662e+09,7.15581e+09,6.44813e+09,4.71063e+09,766042787.3,5.31265e+09,4.59352e+09,6682750.3,730045008.0,3.43565e+09,1.01402e+10,1.43338e+10,2.33289e+09,1.06881e+10,7.82105e+09,3.63028e+09,117416073.0,6.51276e+09,8.37063e+09,1.88147e+09,2.16301e+10,5.50008e+10,8.85984e+10,1.70160e+11,2.99466e+10,1.18627e+11,8.23044e+10,6.24460e+10,1.75820e+10,8.78559e+10,7.77677e+10,4984.9,147278.8,828235.1,1985628.1,2981420.7,483461.4,2158118.9,1643953.1,962273.0,83023.6,1337467.5,1535686.3
16.year_inc,-325986.1,-2092247.1,7919297.7,7144935.7,15349041.7,2487837.5,9669202.1,8269102.8,8381228.6,4134151.9,2850428.6,7079938.9,4479975.6,0.000892,0.00616,0.00643,-0.0277,0.0155,0.0196,0.0211,0.0148,0.0170,0.0127,-0.00877,0.0164,0.0120,33167.5,166878.2,903799.1,1833916.6,2979101.7,552798.8,2023112.8,1562924.9,1033818.0,504233.0,260858.0,1416176.7,1392484.8,0.0104,0.0136,0.00599,0.00147,0.0218,0.0123,0.0291,0.0205,0.0110,0.00818,0.00477,0.0233,0.0181,400865.2,243215.2,1903497.9,2264696.8,5150869.5,762539.2,3328956.0,2627238.4,2085790.0,993107.0,902274.9,2523631.1,2302540.3,-1480.0,-2719.0,40542.6,385100.5,421070.8,66370.4,347107.6,250673.9,65193.1,38651.5,-39340.3,170396.9,289507.4,-0.00416,-0.00536,-0.000688,-0.00941,0.00651,0.0111,0.0220,0.00336,0.00439,0.00575,-0.0285,0.0124,0.0142,29468843.7,207076865.0,1.32450e+09,3.23905e+09,1.64514e+10,856033618.2,3.28532e+09,2.67060e+09,1.79010e+09,956505523.6,441253463.5,2.13945e+09,2.16392e+09,22340499.9,3.34018e+09,2.29953e+10,5.66654e+10,8.33040e+10,1.60736e+10,5.95660e+10,4.45750e+10,2.44918e+10,3.72465e+09,3.87289e+10,4.27385e+10,-32843604.2,1.58953e+09,1.30472e+10,2.80784e+10,4.26831e+10,9.23878e+09,3.04482e+10,2.21777e+10,1.31214e+10,2.07931e+09,2.05055e+10,2.03229e+10,128553265.9,1.25354e+09,3.54162e+09,1.07958e+10,1.58501e+10,3.11229e+09,9.77466e+09,9.51479e+09,5.84322e+09,1.20838e+09,6.33533e+09,6.89461e+09,1623896.9,563185775.9,3.87289e+09,1.32064e+10,1.76732e+10,2.92192e+09,1.33645e+10,1.01513e+10,4.41563e+09,251547759.2,7.52190e+09,1.03357e+10,2.78910e+09,1.93396e+10,6.47213e+10,1.08398e+11,1.99300e+11,3.64583e+10,1.36308e+11,9.88170e+10,7.31238e+10,2.33735e+10,1.00483e+11,8.97179e+10,26415.1,124494.4,931101.9,2494687.2,3603430.4,622692.0,2605566.5,2061121.3,1163854.9,157684.2,1542309.1,1816883.5
18.year_inc,895141.1,-2340414.5,7578041.7,8193848.8,18002975.3,3049986.6,10933115.4,9613946.6,9732637.7,4794859.1,3533383.3,8389028.7,5220351.0,0.00105,0.00684,0.0103,-0.0197,0.0183,0.0224,0.0246,0.0180,0.0206,0.0172,-0.00861,0.0186,0.0141,53734.4,183189.4,987889.2,2275512.0,3557790.9,664735.0,2382174.9,1904260.9,1250643.6,628259.8,356220.7,1653530.0,1642412.2,0.0108,0.0151,0.00947,-0.0000252,0.0232,0.0108,0.0307,0.0213,0.0110,0.00774,0.00494,0.0254,0.0191,529423.8,266628.6,1932262.5,2569742.1,5765913.0,870955.7,3615483.3,2891141.4,2395050.5,1135011.2,1105451.5,2874771.6,2499906.8,-1919.5,-1636.1,52861.5,487868.3,537366.3,91657.6,439649.0,322269.4,89958.1,53100.5,-28530.8,215096.8,355750.6,-0.00561,-0.00478,0.00201,-0.00871,0.0108,0.0187,0.0306,0.00685,0.00919,0.00938,-0.0272,0.0173,0.0184,38875510.5,221697114.7,1.63064e+09,4.11167e+09,1.93610e+10,1.11245e+09,4.14660e+09,3.29808e+09,2.25343e+09,1.18822e+09,680900876.1,2.72334e+09,2.65554e+09,267148349.9,3.75328e+09,2.49945e+10,7.00835e+10,9.95143e+10,1.95447e+10,7.04980e+10,5.42376e+10,3.01349e+10,6.20882e+09,4.52767e+10,4.98347e+10,28750339.8,1.73854e+09,1.40667e+10,3.46815e+10,5.05328e+10,1.10215e+10,3.55702e+10,2.69595e+10,1.61633e+10,3.24594e+09,2.35733e+10,2.33480e+10,142768404.3,1.44671e+09,4.07631e+09,1.40584e+10,1.98713e+10,4.18780e+09,1.23294e+10,1.17908e+10,7.25463e+09,2.25435e+09,8.08044e+09,8.42884e+09,19069316.2,636332945.8,4.28919e+09,1.64202e+10,2.14080e+10,3.64317e+09,1.60802e+10,1.24319e+10,5.46658e+09,733325648.0,8.97609e+09,1.22983e+10,4.28990e+09,2.08540e+10,7.55939e+10,1.32094e+11,2.38278e+11,4.33070e+10,1.58037e+11,1.21242e+11,8.93338e+10,3.15562e+10,1.17036e+11,1.05637e+11,31287.9,165455.7,1080966.5,3211605.1,4532270.7,789888.6,3183953.8,2647896.0,1465906.3,338376.3,1884374.7,2276475.9
20.year_inc,2160268.9,-2264410.8,7137479.8,9108536.4,20327761.6,3576672.2,11899569.8,10705696.3,11071875.1,5430483.6,4232481.3,9622065.3,5679214.2,0.00115,0.00713,0.0114,-0.0135,0.0201,0.0212,0.0270,0.0193,0.0229,0.0189,-0.00892,0.0210,0.0157,72407.5,196277.7,979694.7,2660897.5,3977590.5,705775.0,2636444.1,2081402.0,1440447.5,715029.6,445833.9,1896188.5,1831368.0,0.0117,0.0141,0.0137,-0.000974,0.0242,0.0125,0.0309,0.0230,0.0120,0.00897,0.00733,0.0256,0.0188,684668.4,239048.3,1959246.0,2840951.7,6284911.0,1025301.9,3756114.6,3194847.0,2726842.9,1294099.0,1354062.6,3090064.0,2532766.1,-658.0,-957.2,65588.0,596411.1,660165.4,108129.5,527712.1,378225.1,118422.1,64714.9,-11122.5,281940.3,433613.8,-0.00349,-0.00408,0.00664,-0.00454,0.0173,0.0249,0.0411,0.0117,0.0154,0.0132,-0.0228,0.0265,0.0264,52909956.6,245871011.4,1.71138e+09,4.76853e+09,2.26262e+10,1.27041e+09,4.51801e+09,3.60654e+09,2.66329e+09,1.34271e+09,938089705.9,3.21188e+09,2.88472e+09,443360466.1,3.84850e+09,2.46502e+10,8.28091e+10,1.12246e+11,2.07898e+10,7.91955e+10,6.00199e+10,3.48297e+10,8.45691e+09,5.22261e+10,5.66265e+10,19237539.6,1.76849e+09,1.34699e+10,4.08506e+10,5.61418e+10,1.14284e+10,3.95161e+10,2.94154e+10,1.82935e+10,4.13618e+09,2.67263e+10,2.64199e+10,267417927.8,1.57148e+09,4.58397e+09,1.72761e+10,2.39185e+10,4.74585e+09,1.46236e+10,1.43865e+10,8.71477e+09,3.03903e+09,9.53206e+09,1.04579e+10,41960813.7,658818223.1,4.34602e+09,1.94181e+10,2.45137e+10,3.99105e+09,1.82582e+10,1.39480e+10,6.45380e+09,1.27110e+09,1.05657e+10,1.40688e+10,6.05317e+09,2.28854e+10,7.63503e+10,1.53387e+11,2.65204e+11,4.56417e+10,1.71644e+11,1.31466e+11,1.03131e+11,3.96862e+10,1.33738e+11,1.16431e+11,46258.2,147029.6,1041794.1,3723726.1,5011584.8,840194.0,3548217.9,2861866.1,1650178.0,388432.4,2149718.7,2521212.8
