,n_startpop_5564,n_startpop_6574,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_college,p_cogstate1_f,p_cogstate1_his,p_cogstate1_his_f,p_cogstate1_hsless,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_college,n_cogstate1_f,n_cogstate1_his,n_cogstate1_his_f,n_cogstate1_hsless,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_college,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_his_f,n_nhmliv_dem_hsless,n_nhmliv_dem_m,n_nhmliv_dem_wht,p_nhmliv_dem_5564,p_nhmliv_dem_6574,p_nhmliv_dem_7584,p_nhmliv_dem_85p,p_nhmliv_dem_all,p_nhmliv_dem_blk,p_nhmliv_dem_college,p_nhmliv_dem_f,p_nhmliv_dem_his,p_nhmliv_dem_his_f,p_nhmliv_dem_hsless,p_nhmliv_dem_m,p_nhmliv_dem_wht,helphoursyr_dem_5564,helphoursyr_dem_6574,helphoursyr_dem_7584,helphoursyr_dem_85p,helphoursyr_dem_all,helphoursyr_dem_blk,helphoursyr_dem_college,helphoursyr_dem_f,helphoursyr_dem_his,helphoursyr_dem_his_f,helphoursyr_dem_hsless,helphoursyr_dem_m,helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_college,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_hsless,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_college,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_hsless,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_college,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_hsless,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_college,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_hsless,t_oopmd_dem_m,t_oopmd_dem_wht,t_qalys_dem_5564,t_qalys_dem_6574,t_qalys_dem_7584,t_qalys_dem_85p,t_qalys_dem_all,t_qalys_dem_blk,t_qalys_dem_college,t_qalys_dem_f,t_qalys_dem_his,t_qalys_dem_hsless,t_qalys_dem_m,t_qalys_dem_wht,t_est_helperct_dem_5564,t_est_helperct_dem_6574,t_est_helperct_dem_7584,t_est_helperct_dem_85p,t_est_helperct_dem_all,t_est_helperct_dem_blk,t_est_helperct_dem_college,t_est_helperct_dem_f,t_est_helperct_dem_his,t_est_helperct_dem_hsless,t_est_helperct_dem_m,t_est_helperct_dem_wht
2.year_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.year_inc,-1018099.8,733557.8,1654741.0,751233.2,1992000.2,291043.3,1591526.9,1095245.8,1157627.7,589914.6,200498.2,896754.4,543329.3,0.000222,0.000670,-0.00307,-0.00486,0.00162,0.00208,0.00257,0.00130,0.000988,0.000292,-0.00338,0.00197,0.00132,-1648.1,45019.5,72746.2,192524.3,309022.9,56659.6,237487.2,148367.8,102106.0,51786.8,-20411.5,160655.1,150257.2,0.00233,0.00395,-0.00321,-0.00229,0.00378,0.00203,0.00521,0.00293,0.00319,0.00319,0.00254,0.00476,0.00303,10020.4,238872.8,280676.9,214014.6,752984.6,94175.4,541290.2,343229.5,306460.8,155894.0,95013.5,409755.1,352348.4,-971.5,-2921.5,-2734.7,28164.2,21145.1,4496.0,13949.1,6174.3,7133.4,5315.8,-9878.6,14970.8,9515.6,-0.00227,-0.00373,-0.00268,-0.00568,-0.00244,-0.000131,-0.00750,-0.00429,0.00124,0.00268,-0.00387,0.000634,-0.00343,-22764965.2,58569957.9,172983444.5,282039831.1,1.98310e+09,54348184.6,332469978.0,261261339.4,183982782.8,92704266.1,-34381734.0,233747030.4,256677402.5,-122797812.3,980323772.6,2.07115e+09,4.98852e+09,7.90293e+09,1.66557e+09,6.14216e+09,3.72210e+09,2.41479e+09,-856599264.6,4.18083e+09,3.82257e+09,-85711494.7,377658094.9,1.08073e+09,2.43571e+09,3.80367e+09,868372184.8,3.37849e+09,1.67501e+09,1.18194e+09,-539753797.1,2.12866e+09,1.75336e+09,52070604.9,107264231.4,244332790.8,1.27702e+09,1.70125e+09,418395013.1,655415241.6,763442987.8,697704564.0,139691205.3,937803524.7,585146935.4,-8155515.1,208002704.0,367172605.4,1.16395e+09,1.72929e+09,318309604.2,1.21849e+09,895164212.6,470009956.5,-151039997.2,834121085.8,940965737.7,137974411.2,5.65527e+09,3.90826e+09,1.44434e+10,2.41868e+10,4.12551e+09,1.90013e+10,1.07027e+10,8.17118e+09,-727487266.1,1.34840e+10,1.18901e+10,-11368.7,46345.2,57412.2,287203.9,382833.2,64085.7,280802.5,213078.4,117328.5,-25961.2,169754.8,201419.1
6.year_inc,-2048810.6,1053803.3,3574706.8,1328263.3,4116830.3,628695.7,3103733.2,2281556.6,2319316.2,1174784.9,484087.3,1835273.7,1168818.4,0.000355,0.00227,-0.00354,-0.00815,0.00361,0.00576,0.00532,0.00278,0.00386,0.00138,-0.00442,0.00454,0.00254,-7381.0,116023.0,225475.6,340627.0,680072.0,141986.6,493755.4,316842.9,242146.4,111067.5,4423.9,363229.1,295938.9,0.00455,0.00473,-0.00231,-0.000803,0.00719,0.00243,0.0106,0.00646,0.00379,0.00296,0.000104,0.00802,0.00631,9677.4,307975.4,715204.5,408620.2,1490602.5,177170.5,1106063.4,747829.7,572972.5,281434.5,141028.0,742772.8,740459.5,-1623.5,-3545.4,5364.0,53842.4,53556.8,7632.6,46591.5,21294.8,15305.8,10809.1,-14600.3,32262.0,30618.4,-0.00352,-0.00527,-0.00214,-0.00804,-0.00397,-0.00264,-0.00676,-0.00645,0.00158,0.00453,-0.00752,0.000739,-0.00339,-22816458.2,78475991.4,341300646.5,541734459.4,4.05553e+09,185082167.7,736292853.3,466739658.8,341922218.4,142712533.8,-18888554.7,464040998.9,403776271.5,-233973130.2,2.72679e+09,5.19480e+09,9.27961e+09,1.69958e+10,3.98367e+09,1.29494e+10,7.98849e+09,5.46374e+09,-741097337.9,9.00730e+09,7.54836e+09,-39089398.3,1.43538e+09,2.55760e+09,4.17566e+09,8.12704e+09,2.13651e+09,6.59450e+09,3.80266e+09,2.69456e+09,-790876031.5,4.32438e+09,3.29597e+09,-40407937.0,689921095.9,582851279.3,1.66993e+09,2.93118e+09,765937546.9,1.54877e+09,1.35534e+09,1.33289e+09,334716302.6,1.57584e+09,832353159.7,-28005177.5,428846155.3,1.00182e+09,2.29365e+09,3.69921e+09,741015150.2,2.80389e+09,1.86319e+09,1.03679e+09,-111644109.1,1.83602e+09,1.92141e+09,106267951.6,1.25892e+10,1.55833e+10,2.43869e+10,5.31265e+10,1.03989e+10,3.82766e+10,2.17115e+10,1.95932e+10,2.36226e+09,3.14150e+10,2.31344e+10,-30756.1,91357.8,221276.5,460066.5,757112.3,143387.2,584526.4,454565.9,228222.0,-47328.9,302546.4,385503.1
8.year_inc,-2391429.2,578266.7,4957711.6,2381702.5,6620309.6,1020676.2,4733238.3,3669652.8,3580439.6,1799881.9,898212.8,2950656.8,2019193.7,0.000490,0.00401,-0.00410,-0.0157,0.00568,0.00873,0.00834,0.00469,0.00630,0.00276,-0.00634,0.00679,0.00403,-5800.4,169735.1,328400.4,582945.6,1091920.9,224920.4,784285.2,531451.9,387904.5,178094.4,32825.6,560469.0,479096.0,0.00620,0.00763,-0.00145,-0.00273,0.0106,0.00628,0.0147,0.00999,0.00545,0.00519,0.00309,0.0113,0.00886,44180.3,361708.4,1035642.4,716722.5,2295713.6,323431.4,1596166.3,1188168.3,884040.3,441022.5,305959.4,1107545.4,1088241.9,-894.3,-3185.7,12237.0,122056.4,130352.6,22714.0,99233.4,66826.0,23221.7,14315.1,-15665.6,63526.6,84416.9,-0.00199,-0.00563,-0.00137,-0.00406,-0.000224,0.00288,-0.000392,-0.00283,0.00170,0.00383,-0.00913,0.00495,0.00251,-17613989.5,119357950.5,500023156.2,985301421.9,6.17963e+09,327898186.4,1.10605e+09,817796591.9,612620878.8,306866160.4,22655906.3,785036320.8,662313847.5,-254514003.6,3.85295e+09,7.90968e+09,1.75211e+10,2.91439e+10,6.26252e+09,2.15769e+10,1.42877e+10,9.06756e+09,-120366521.2,1.48562e+10,1.38139e+10,-46957226.0,1.93941e+09,3.92038e+09,7.91289e+09,1.37346e+10,3.50584e+09,1.08259e+10,6.68149e+09,4.53840e+09,-464280701.1,7.05315e+09,5.69039e+09,-90587255.4,730102947.2,1.21117e+09,3.69666e+09,5.60457e+09,1.11953e+09,3.01312e+09,2.93115e+09,2.22002e+09,468783275.6,2.67343e+09,2.26502e+09,-33564693.9,627678129.2,1.53221e+09,4.31554e+09,6.45318e+09,1.14888e+09,4.76413e+09,3.32312e+09,1.67201e+09,-70710910.5,3.13006e+09,3.63228e+09,-37181570.6,1.93749e+10,2.25291e+10,3.91925e+10,8.26410e+10,1.58549e+10,5.98619e+10,3.76867e+10,3.07701e+10,5.48901e+09,4.49544e+10,3.60161e+10,-12108.0,119921.1,322539.7,805132.2,1250210.3,249837.3,923562.1,670330.9,413071.5,-16951.2,579879.4,587301.5
10.year_inc,-2406207.4,-74123.8,6129462.3,3675956.0,9073239.9,1374341.3,6262423.8,4970439.7,4796860.6,2391918.0,1349797.5,4102800.1,2902037.9,0.000546,0.00509,-0.000883,-0.0248,0.00836,0.0129,0.0111,0.00743,0.00980,0.00566,-0.00627,0.00942,0.00597,-3773.3,190830.4,521075.3,861180.6,1594095.0,324108.4,1062382.2,805495.0,558793.3,260569.7,96484.7,788600.0,711193.4,0.00804,0.0105,0.00305,-0.00353,0.0149,0.00918,0.0204,0.0141,0.00755,0.00557,0.00337,0.0158,0.0129,114467.8,390111.3,1418510.1,1109768.2,3235633.7,449254.7,2216251.4,1667394.0,1198551.7,575727.5,441367.2,1568239.7,1587827.2,-1552.6,-927.8,23613.5,182396.7,203297.9,28318.0,155285.7,114164.7,31048.0,19445.2,-23814.5,89133.2,143931.9,-0.00345,-0.00395,-0.000316,-0.00531,0.00134,0.00113,0.00639,-0.00135,0.000671,0.00334,-0.0157,0.00636,0.00752,-12323348.1,123724450.1,672342831.5,1.42891e+09,8.43326e+09,456084441.9,1.48409e+09,1.18476e+09,851812556.9,438071254.3,136306104.7,1.03802e+09,914888987.8,-320706934.7,4.37563e+09,1.25140e+10,2.56640e+10,4.23837e+10,8.99346e+09,2.93865e+10,2.20099e+10,1.28716e+10,871139982.4,2.03737e+10,2.05186e+10,-46743239.7,1.99618e+09,6.36841e+09,1.17149e+10,2.00424e+10,5.13666e+09,1.45500e+10,1.01203e+10,6.40040e+09,11344858.0,9.92212e+09,8.50535e+09,-136655745.1,976462386.5,2.17630e+09,5.02339e+09,8.11399e+09,1.54098e+09,4.32899e+09,4.38837e+09,3.09053e+09,606899686.2,3.72562e+09,3.48247e+09,-35554316.3,789659433.4,2.32387e+09,6.30658e+09,9.40046e+09,1.60330e+09,6.61976e+09,5.21849e+09,2.43234e+09,42631062.4,4.18197e+09,5.36482e+09,308829368.3,2.23896e+10,3.87341e+10,5.72581e+10,1.21091e+11,2.35340e+10,7.98256e+10,5.81486e+10,4.36055e+10,1.21358e+10,6.29419e+10,5.39510e+10,-579.4,135447.5,493471.7,1155271.9,1806552.2,351117.9,1299464.2,1035762.4,597851.3,17223.0,770789.8,857583.1
12.year_inc,-2252318.1,-409709.5,7211472.8,4852527.9,11327964.4,1720203.6,7577453.9,6177306.0,6014823.1,2979012.0,1819503.9,5150658.4,3592937.8,0.000867,0.00587,0.00195,-0.0270,0.0113,0.0158,0.0151,0.00970,0.0138,0.00848,-0.00832,0.0130,0.00824,10435.2,209815.0,701534.1,1177233.8,2126252.4,405782.0,1437345.4,1046494.3,750702.6,345059.1,127818.5,1079758.1,969767.8,0.00954,0.0101,0.00551,-0.00170,0.0178,0.0106,0.0234,0.0169,0.00897,0.00717,0.00526,0.0188,0.0153,186995.7,331776.1,1730099.4,1499261.1,3972020.4,552647.1,2611779.7,2048714.7,1503158.3,723681.1,608770.6,1923305.7,1916215.0,-1091.8,-1230.2,21188.2,247659.6,266948.7,39653.2,201919.2,146250.6,42724.3,25715.7,-32187.5,120698.1,184571.2,-0.00277,-0.00444,-0.00427,-0.00692,0.00117,0.00366,0.00523,-0.00212,0.00117,0.00373,-0.0206,0.00789,0.00733,21607530.9,152780203.8,963886255.5,2.00505e+09,1.08572e+10,620995874.1,2.22799e+09,1.75272e+09,1.15597e+09,603220561.4,185527663.2,1.39609e+09,1.37184e+09,-170278132.3,4.76637e+09,1.62365e+10,3.51084e+10,5.61290e+10,1.14336e+10,3.94413e+10,2.80567e+10,1.72225e+10,986458298.5,2.80723e+10,2.74730e+10,-43120800.1,2.18347e+09,8.50728e+09,1.58860e+10,2.65334e+10,6.37105e+09,1.96032e+10,1.28377e+10,8.71941e+09,-124317438.9,1.36957e+10,1.14430e+10,-42797113.7,1.29147e+09,2.39160e+09,7.66235e+09,1.13905e+10,2.18157e+09,6.17400e+09,6.45909e+09,4.26890e+09,902078912.4,4.93138e+09,4.94000e+09,-11032691.9,823620744.4,2.90793e+09,8.66192e+09,1.24036e+10,2.07881e+09,8.83978e+09,6.67563e+09,3.17918e+09,64572589.2,5.72793e+09,7.14558e+09,1.04329e+09,2.43578e+10,5.46280e+10,7.92072e+10,1.61927e+11,2.96675e+10,1.07976e+11,7.57475e+10,5.83284e+10,1.69920e+10,8.61791e+10,7.39308e+10,2516.8,135944.6,656165.2,1586252.9,2404016.2,417625.5,1760747.1,1338813.8,773813.7,1836.9,1065202.4,1212577.0
14.year_inc,-1402313.9,-1214086.9,7783258.2,6240594.7,13589358.0,2090216.4,8779913.6,7395784.7,7196735.3,3563810.2,2333713.7,6193573.4,4302406.3,0.000951,0.00679,0.00416,-0.0286,0.0140,0.0177,0.0184,0.0130,0.0167,0.0119,-0.00653,0.0152,0.0107,23340.7,217984.0,821398.9,1558906.5,2653693.6,476849.3,1763268.2,1367426.2,919728.4,440047.5,228097.2,1286267.4,1257115.9,0.0101,0.0127,0.00703,-0.000230,0.0208,0.0139,0.0276,0.0198,0.00953,0.00640,0.00431,0.0219,0.0179,286979.0,324674.6,1904215.7,1954147.9,4734048.5,692189.4,3100030.3,2443654.2,1782881.1,844398.8,743775.4,2290394.3,2258978.0,587.9,-484.0,35664.0,318056.9,353302.7,55277.9,259754.8,195454.7,50626.1,29532.3,-24679.6,157848.0,247398.7,0.000590,-0.00399,-0.000938,-0.0106,0.00363,0.00891,0.00907,-0.00159,0.000603,0.00142,-0.0209,0.0124,0.0105,4115727.5,178929909.1,1.06259e+09,2.60026e+09,1.34232e+10,692494057.8,2.67155e+09,2.20199e+09,1.41266e+09,729115376.3,282990351.7,1.65151e+09,1.74834e+09,49109998.1,4.67905e+09,1.96235e+10,4.59956e+10,7.05755e+10,1.34715e+10,4.88862e+10,3.67968e+10,2.11793e+10,3.36906e+09,3.37787e+10,3.59246e+10,-1039185.2,1.80192e+09,9.99517e+09,2.10556e+10,3.28549e+10,7.38969e+09,2.39872e+10,1.68747e+10,1.06583e+10,840594835.6,1.59802e+10,1.48069e+10,36701263.0,1.46987e+09,2.88718e+09,9.30782e+09,1.37657e+10,2.70038e+09,7.63719e+09,7.71063e+09,5.06896e+09,1.55129e+09,6.05504e+09,5.99634e+09,15468632.4,898323733.8,3.60863e+09,1.12087e+10,1.57526e+10,2.54882e+09,1.11275e+10,8.69138e+09,3.87700e+09,520589897.0,7.06123e+09,9.32679e+09,2.09390e+09,2.53339e+10,6.29024e+10,1.03250e+11,1.96624e+11,3.43294e+10,1.29465e+11,9.58463e+10,6.83435e+10,2.42187e+10,1.00778e+11,9.39514e+10,4547.2,138046.8,831315.6,2099009.1,3088292.1,503438.1,2196685.1,1723846.6,977612.5,92316.2,1364445.5,1607241.5
16.year_inc,-323275.3,-2022458.8,8112764.2,7540394.6,16010466.1,2556109.4,10027634.8,8633206.0,8418396.3,4156242.4,2935678.5,7377260.1,5035960.4,0.000912,0.00730,0.00756,-0.0237,0.0172,0.0218,0.0221,0.0164,0.0194,0.0145,-0.00520,0.0180,0.0134,34002.9,210143.5,956903.4,2015218.3,3257608.3,595673.1,2127004.0,1711663.7,1096781.3,529370.9,334337.2,1545944.7,1565154.0,0.0104,0.0149,0.00809,0.000803,0.0230,0.0130,0.0305,0.0218,0.0120,0.00987,0.00426,0.0244,0.0195,399460.1,301106.5,2011045.7,2378788.5,5428995.2,789993.2,3487264.9,2782750.7,2120802.0,1019496.2,918203.6,2646244.5,2518200.1,-1304.9,-1288.0,42177.9,433784.8,472996.4,71789.8,363028.3,281117.3,72434.1,41168.2,-27040.2,191879.1,328772.5,-0.00383,-0.00465,-0.000902,-0.00783,0.00821,0.0118,0.0219,0.00481,0.00573,0.00610,-0.0258,0.0145,0.0161,28567179.7,230360662.0,1.22790e+09,3.34091e+09,1.61668e+10,821431294.7,3.28691e+09,2.72513e+09,1.77884e+09,963025228.7,440633959.9,2.11262e+09,2.23748e+09,48616977.6,4.25679e+09,2.30640e+10,6.04126e+10,8.80612e+10,1.67681e+10,6.08830e+10,4.71540e+10,2.54503e+10,5.31515e+09,4.09072e+10,4.58428e+10,-33185805.8,1.55179e+09,1.20390e+10,2.75800e+10,4.11401e+10,9.00408e+09,2.93056e+10,2.12701e+10,1.27000e+10,1.96295e+09,1.98700e+10,1.94360e+10,84208363.6,1.52236e+09,3.95969e+09,1.27663e+10,1.84649e+10,3.53402e+09,1.05549e+10,1.11162e+10,6.47624e+09,2.17087e+09,7.34866e+09,8.45464e+09,12663715.2,852497451.0,4.15235e+09,1.48158e+10,1.98626e+10,3.23858e+09,1.42186e+10,1.13861e+10,4.82159e+09,801640846.0,8.47644e+09,1.18024e+10,2.95808e+09,2.42901e+10,7.38421e+10,1.28186e+11,2.33341e+11,4.19483e+10,1.50609e+11,1.17019e+11,8.04598e+10,3.14159e+10,1.16323e+11,1.10933e+11,24804.9,151737.5,957540.9,2681613.1,3842845.8,658115.2,2700321.6,2182629.6,1200751.1,210069.9,1660216.2,1983979.5
18.year_inc,897378.7,-2260040.0,7814779.9,8711689.8,18840166.7,3147853.3,11401008.3,10087074.7,9774620.2,4822311.8,3633154.7,8753092.0,5917693.2,0.00106,0.00783,0.0119,-0.0161,0.0202,0.0253,0.0258,0.0200,0.0232,0.0199,-0.00487,0.0204,0.0157,54213.0,221216.5,1062513.9,2494194.4,3889603.7,724230.6,2514630.9,2092793.1,1322920.8,665984.8,437037.7,1796810.6,1842452.3,0.0109,0.0173,0.0118,0.00151,0.0251,0.0112,0.0324,0.0232,0.0134,0.00967,0.00620,0.0272,0.0212,532113.0,352863.6,2057772.4,2758599.0,6169204.1,901403.8,3823514.1,3112050.5,2467185.1,1166868.7,1156962.5,3057153.6,2800615.2,-1333.8,-1597.3,56394.7,558366.1,612021.7,100740.5,477038.5,365506.4,95212.7,54571.3,-15614.7,246515.3,416068.5,-0.00442,-0.00523,0.00205,-0.00462,0.0138,0.0203,0.0343,0.00934,0.00935,0.00850,-0.0246,0.0211,0.0229,39892574.1,224726316.3,1.51525e+09,4.30197e+09,1.90307e+10,1.11273e+09,4.09189e+09,3.36526e+09,2.24734e+09,1.21745e+09,729048430.3,2.73535e+09,2.74054e+09,243086365.7,4.51576e+09,2.55801e+10,7.50035e+10,1.05762e+11,2.07047e+10,7.27766e+10,5.79331e+10,3.09839e+10,7.81853e+09,4.78287e+10,5.40732e+10,-2736470.4,1.71610e+09,1.32241e+10,3.42920e+10,4.92470e+10,1.09585e+10,3.46106e+10,2.60908e+10,1.56842e+10,3.15729e+09,2.31562e+10,2.26043e+10,102712784.6,1.70645e+09,4.58655e+09,1.66134e+10,2.31572e+10,4.66341e+09,1.35246e+10,1.42732e+10,8.03408e+09,3.36398e+09,8.88399e+09,1.04597e+10,25901615.8,864019116.8,4.71265e+09,1.84323e+10,2.40787e+10,4.07689e+09,1.72463e+10,1.40543e+10,5.84438e+09,1.27253e+09,1.00244e+10,1.41574e+10,4.49161e+09,2.53746e+10,8.62729e+10,1.55739e+11,2.77327e+11,5.02971e+10,1.75191e+11,1.42876e+11,9.73553e+10,3.96375e+10,1.34451e+11,1.29675e+11,27541.8,183836.1,1113616.6,3455648.1,4823677.8,835476.2,3297857.1,2838509.9,1499729.4,404415.6,1985168.0,2488472.2
20.year_inc,2168744.4,-2173150.5,7413798.8,9755160.0,21350440.1,3707471.5,12492146.1,11281465.3,11131613.9,5477611.4,4350266.7,10068974.8,6511354.8,0.00116,0.00835,0.0149,-0.00917,0.0227,0.0248,0.0287,0.0223,0.0266,0.0227,-0.00346,0.0231,0.0179,73113.1,242896.6,1112383.6,2937598.5,4434304.9,783068.5,2817849.1,2363511.1,1547326.2,772161.2,563583.7,2070793.7,2103910.1,0.0117,0.0167,0.0143,0.000621,0.0260,0.0137,0.0329,0.0248,0.0135,0.0113,0.00679,0.0273,0.0208,686587.1,343183.4,2039953.7,3071642.3,6702363.1,1078195.2,3997092.1,3422325.2,2781131.1,1337020.6,1378956.0,3280037.8,2843036.7,-271.8,-420.2,73366.2,691626.7,764082.4,122870.4,574846.9,456335.2,128922.7,70339.2,2148.1,307747.2,512289.3,-0.00278,-0.00421,0.00678,0.00110,0.0212,0.0280,0.0446,0.0174,0.0166,0.0142,-0.0215,0.0279,0.0313,38109530.3,267988915.5,1.74510e+09,5.03959e+09,2.22373e+10,1.28687e+09,4.60614e+09,3.83204e+09,2.74595e+09,1.41219e+09,1.08473e+09,3.29841e+09,3.09763e+09,425304169.4,5.19626e+09,2.72572e+10,8.97468e+10,1.23125e+11,2.27209e+10,8.29439e+10,6.70927e+10,3.69143e+10,1.12749e+10,5.60319e+10,6.34894e+10,-10189091.3,2.19266e+09,1.38664e+10,4.13001e+10,5.73836e+10,1.17500e+10,3.92260e+10,3.02361e+10,1.84784e+10,4.88788e+09,2.71475e+10,2.71552e+10,199070460.5,1.88391e+09,5.28547e+09,2.07151e+10,2.83036e+10,5.60638e+09,1.59802e+10,1.75244e+10,9.76987e+09,4.26819e+09,1.07792e+10,1.29274e+10,49928177.7,931616843.5,5.04304e+09,2.19529e+10,2.80267e+10,4.57034e+09,1.97379e+10,1.63008e+10,7.05645e+09,1.94838e+09,1.17258e+10,1.63999e+10,6.28772e+09,2.70932e+10,9.08584e+10,1.81178e+11,3.11940e+11,5.34804e+10,1.93247e+11,1.58307e+11,1.13216e+11,4.96849e+10,1.53634e+11,1.45244e+11,40668.0,181426.7,1119177.0,4012726.1,5406854.3,897152.8,3665239.9,3167804.9,1736645.3,482774.1,2239049.3,2773056.2
