,n_startpop_5564,n_startpop_6574,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_college,p_cogstate1_f,p_cogstate1_his,p_cogstate1_his_f,p_cogstate1_hsless,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_college,n_cogstate1_f,n_cogstate1_his,n_cogstate1_his_f,n_cogstate1_hsless,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_college,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_his_f,n_nhmliv_dem_hsless,n_nhmliv_dem_m,n_nhmliv_dem_wht,p_nhmliv_dem_5564,p_nhmliv_dem_6574,p_nhmliv_dem_7584,p_nhmliv_dem_85p,p_nhmliv_dem_all,p_nhmliv_dem_blk,p_nhmliv_dem_college,p_nhmliv_dem_f,p_nhmliv_dem_his,p_nhmliv_dem_his_f,p_nhmliv_dem_hsless,p_nhmliv_dem_m,p_nhmliv_dem_wht,helphoursyr_dem_5564,helphoursyr_dem_6574,helphoursyr_dem_7584,helphoursyr_dem_85p,helphoursyr_dem_all,helphoursyr_dem_blk,helphoursyr_dem_college,helphoursyr_dem_f,helphoursyr_dem_his,helphoursyr_dem_his_f,helphoursyr_dem_hsless,helphoursyr_dem_m,helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_college,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_hsless,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_college,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_hsless,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_college,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_hsless,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_college,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_hsless,t_oopmd_dem_m,t_oopmd_dem_wht,t_qalys_dem_5564,t_qalys_dem_6574,t_qalys_dem_7584,t_qalys_dem_85p,t_qalys_dem_all,t_qalys_dem_blk,t_qalys_dem_college,t_qalys_dem_f,t_qalys_dem_his,t_qalys_dem_hsless,t_qalys_dem_m,t_qalys_dem_wht,t_est_helperct_dem_5564,t_est_helperct_dem_6574,t_est_helperct_dem_7584,t_est_helperct_dem_85p,t_est_helperct_dem_all,t_est_helperct_dem_blk,t_est_helperct_dem_college,t_est_helperct_dem_f,t_est_helperct_dem_his,t_est_helperct_dem_hsless,t_est_helperct_dem_m,t_est_helperct_dem_wht
2.year_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.year_inc,-1018100.4,733556.4,1654740.4,751233.2,1991997.6,291042.8,1591525.8,1095244.0,1157627.0,589914.0,200497.5,896753.7,543327.8,0.000222,0.000667,-0.00295,-0.00467,0.00165,0.00215,0.00258,0.00136,0.00101,0.000341,-0.00326,0.00199,0.00136,-1648.1,44931.2,75837.1,194291.5,313792.6,57626.5,238014.5,151890.6,102571.1,52227.5,-18751.2,161902.0,153595.0,0.00233,0.00399,-0.00338,-0.00233,0.00376,0.00196,0.00522,0.00290,0.00317,0.00314,0.00236,0.00474,0.00302,10020.2,240458.8,276554.7,213710.0,750143.7,93182.2,542015.4,341386.5,306158.6,155435.1,92292.6,408757.2,350802.8,-971.5,-2921.5,-2734.7,30195.9,23176.7,4582.8,14856.7,7705.4,7274.4,5456.8,-9333.9,15471.3,11319.5,-0.00227,-0.00372,-0.00275,-0.00515,-0.00223,-0.000123,-0.00713,-0.00403,0.00134,0.00286,-0.00369,0.000763,-0.00313,-21812864.0,64541682.3,177546457.6,299513256.4,1.98310e+09,66057060.0,338526154.1,283200025.0,181071882.9,91108458.6,-26964960.7,240854501.7,276925583.8,-91623496.0,1.08116e+09,2.40758e+09,5.52347e+09,8.90953e+09,1.88519e+09,6.44339e+09,4.33767e+09,2.55179e+09,-572350154.2,4.57186e+09,4.47255e+09,-79080383.9,463086030.2,1.37791e+09,2.98196e+09,4.74031e+09,1.08387e+09,3.66046e+09,2.26092e+09,1.31983e+09,-273712156.6,2.47939e+09,2.33661e+09,73085532.3,135993284.0,250808819.1,1.32790e+09,1.80475e+09,467116778.4,711839710.6,802536927.3,717900681.7,149127897.7,1.00221e+09,619729647.2,-9437364.5,206088326.9,376794749.4,1.18930e+09,1.76171e+09,320578127.0,1.22603e+09,923564650.8,470335795.3,-137569710.3,838150213.9,970800942.4,-2307131.8,5.30473e+09,3.30282e+09,1.30284e+10,2.16644e+10,3.63152e+09,1.80019e+10,9.36508e+09,7.77211e+09,-1.38974e+09,1.22993e+10,1.02608e+10,-10973.2,48724.3,61603.2,293525.7,396040.9,66252.0,285373.0,222421.2,119692.7,-22681.3,173619.7,210096.2
6.year_inc,-2054125.9,1043095.9,3562081.9,1305701.8,4065621.3,620873.1,3080401.6,2254380.7,2312463.5,1173220.6,473842.9,1811240.6,1132284.6,0.000340,0.00241,-0.00351,-0.00754,0.00365,0.00587,0.00530,0.00283,0.00395,0.00146,-0.00438,0.00459,0.00257,-8004.5,120905.6,225284.1,339742.0,683254.6,142761.3,491665.3,318372.9,243187.1,111701.0,3603.1,364881.6,297306.2,0.00453,0.00480,-0.00233,-0.00135,0.00712,0.00222,0.0106,0.00630,0.00363,0.00291,0.0000393,0.00807,0.00628,8446.4,309312.2,712022.7,396084.9,1474991.3,172450.2,1103075.1,732496.9,568440.6,280602.8,137085.3,742494.4,734100.4,-1623.5,-3545.4,4859.9,52125.7,51336.1,7115.7,45670.0,20118.4,14573.1,10159.4,-15112.1,31217.7,29647.3,-0.00348,-0.00533,-0.00237,-0.00851,-0.00432,-0.00302,-0.00701,-0.00677,0.00104,0.00369,-0.00771,0.000372,-0.00364,-20315291.9,92375392.4,353997583.5,582685374.3,4.07701e+09,190779557.7,753531695.9,494963758.8,367751110.9,153598116.7,-2370156.0,505951078.8,442384169.1,-211496095.9,3.13060e+09,5.73158e+09,9.95384e+09,1.86306e+10,4.30882e+09,1.34318e+10,8.83658e+09,5.86237e+09,-232475519.3,9.79400e+09,8.45938e+09,-42141791.1,1.79079e+09,3.23005e+09,5.21464e+09,1.01929e+10,2.55797e+09,7.21532e+09,4.91359e+09,3.17897e+09,-132427674.1,5.27928e+09,4.45593e+09,-21679713.7,721041953.2,636301392.6,1.56352e+09,2.92767e+09,773146774.0,1.54726e+09,1.32512e+09,1.33946e+09,354240275.6,1.60255e+09,815062474.6,-32093846.6,443817670.3,952315623.9,2.19259e+09,3.55926e+09,703177964.0,2.75801e+09,1.77625e+09,1.01287e+09,-151937710.0,1.78301e+09,1.84321e+09,-136798889.7,1.22633e+10,1.34601e+10,2.15733e+10,4.76259e+10,9.38689e+09,3.57875e+10,1.87525e+10,1.86426e+10,783592735.2,2.88734e+10,1.95964e+10,-31119.3,94744.3,226087.9,461558.6,766359.3,144232.0,591026.0,451438.0,233726.0,-47250.0,314921.3,388401.3
8.year_inc,-2405587.5,541740.9,4910677.0,2306117.7,6447006.0,996701.8,4654786.4,3582951.6,3554877.0,1790215.5,865489.3,2864054.4,1895427.1,0.000462,0.00396,-0.00413,-0.0155,0.00552,0.00852,0.00831,0.00454,0.00605,0.00254,-0.00676,0.00663,0.00390,-7019.0,166387.2,323561.5,561559.9,1061129.7,219368.4,778859.0,515613.8,380870.1,175014.9,21842.1,545515.9,460891.2,0.00616,0.00788,-0.00145,-0.00299,0.0105,0.00592,0.0146,0.00978,0.00536,0.00531,0.00276,0.0114,0.00884,41268.9,366760.5,1025604.4,690094.6,2261188.3,312554.9,1582283.1,1161299.1,876650.9,440094.3,291368.3,1099889.2,1071982.5,-894.3,-3064.6,11805.9,115064.3,123050.3,20703.0,99194.3,60485.0,21558.1,12867.8,-17036.5,62565.3,80789.2,-0.00195,-0.00550,-0.00149,-0.00470,-0.000682,0.00187,-0.000188,-0.00379,0.000941,0.00240,-0.00929,0.00505,0.00234,-15875843.4,112343891.8,526944651.7,995989040.4,6.25590e+09,322480408.7,1.16542e+09,829541485.8,598111145.1,294571366.9,-6982666.9,805756439.2,714706371.2,-231407537.3,4.16647e+09,8.58564e+09,1.80231e+10,3.06618e+10,6.54913e+09,2.24470e+10,1.49457e+10,9.40182e+09,186325672.9,1.57161e+10,1.47108e+10,-68434151.1,2.26582e+09,4.71330e+09,9.07459e+09,1.59978e+10,3.93406e+09,1.18050e+10,7.85436e+09,5.00175e+09,138222819.5,8.14345e+09,7.06200e+09,-38892275.5,782575701.5,1.11934e+09,3.39673e+09,5.31527e+09,1.06736e+09,3.01152e+09,2.64291e+09,2.16712e+09,318720540.9,2.67236e+09,2.08079e+09,-38038753.4,612038687.3,1.48022e+09,4.08807e+09,6.15434e+09,1.08634e+09,4.73161e+09,3.12432e+09,1.61998e+09,-175430097.9,3.03002e+09,3.44801e+09,-453155586.3,1.81284e+10,1.90861e+10,3.39759e+10,7.23194e+10,1.40774e+10,5.59610e+10,3.23442e+10,2.87599e+10,2.83187e+09,3.99752e+10,2.94821e+10,-13417.0,126440.1,327852.5,781245.5,1236882.9,241088.0,939007.2,655914.2,413180.7,-28186.7,580968.7,582614.3
10.year_inc,-2414866.0,-144485.4,6027955.6,3534486.2,8751243.2,1332925.5,6104635.0,4803651.7,4758344.4,2372905.6,1289179.5,3947591.5,2659973.3,0.000560,0.00503,-0.00114,-0.0254,0.00800,0.0125,0.0110,0.00706,0.00913,0.00530,-0.00766,0.00906,0.00567,-3305.3,186388.5,504729.5,812863.9,1525458.5,313722.0,1049196.1,768576.1,541599.5,254908.4,66340.3,756882.4,670137.1,0.00798,0.0101,0.00335,-0.00323,0.0147,0.00918,0.0201,0.0139,0.00721,0.00496,0.00337,0.0156,0.0126,111199.9,366560.0,1404951.3,1069539.1,3155026.7,439417.5,2177790.5,1627048.4,1182759.2,564878.5,423823.1,1527978.4,1532850.1,-1552.6,-1232.7,23130.2,171299.9,191412.9,25593.2,152873.5,106125.3,31393.5,19318.2,-25709.8,85287.6,134426.2,-0.00354,-0.00421,-0.000325,-0.00535,0.000899,-0.0000122,0.00619,-0.00192,0.00147,0.00368,-0.0153,0.00611,0.00687,-8551757.5,132011420.0,712635726.1,1.44734e+09,8.54372e+09,453389801.7,1.54117e+09,1.21767e+09,861659809.2,439670241.5,124207726.8,1.07596e+09,978580276.9,-244167486.4,4.87428e+09,1.33627e+10,2.60047e+10,4.41491e+10,9.37061e+09,3.04773e+10,2.27376e+10,1.33991e+10,1.11584e+09,2.14115e+10,2.13794e+10,-32046731.9,2.53993e+09,7.42072e+09,1.30657e+10,2.30059e+10,5.71275e+09,1.59542e+10,1.16221e+10,7.08858e+09,641239969.1,1.13839e+10,1.02046e+10,-53769895.5,1.04809e+09,2.12686e+09,4.60182e+09,7.79776e+09,1.50171e+09,4.27072e+09,4.12512e+09,3.16316e+09,514291777.6,3.67264e+09,3.13289e+09,-38958412.4,758942801.9,2.23518e+09,5.94767e+09,8.91936e+09,1.52338e+09,6.49898e+09,4.91359e+09,2.37397e+09,-101643261.8,4.00577e+09,5.02201e+09,-79684212.2,2.02403e+10,3.35430e+10,4.83210e+10,1.04427e+11,2.06203e+10,7.40078e+10,4.95355e+10,3.99553e+10,7.00819e+09,5.48915e+10,4.38514e+10,1918.1,136714.2,481345.3,1108582.0,1751420.5,347620.0,1284007.3,984158.0,577991.6,-6965.4,767262.5,825808.9
12.year_inc,-2266044.1,-496990.3,7043708.1,4621450.9,10828116.1,1655399.1,7320721.4,5925698.2,5952095.6,2951401.3,1733250.8,4902417.9,3220621.4,0.000864,0.00571,0.00208,-0.0278,0.0108,0.0153,0.0148,0.00912,0.0131,0.00781,-0.00954,0.0126,0.00778,10163.5,201149.7,689956.1,1099410.8,2027914.3,392020.4,1402050.9,987627.0,729444.7,334958.3,96448.5,1040287.3,906449.2,0.00948,0.00972,0.00563,-0.00119,0.0174,0.0105,0.0232,0.0165,0.00839,0.00704,0.00500,0.0185,0.0149,183170.1,306092.7,1696317.8,1434061.9,3843530.6,536304.3,2564233.3,1982335.1,1476023.9,716035.7,579339.8,1861195.5,1831202.4,-1091.8,-904.4,19469.0,230381.5,248277.1,38774.9,195101.2,135435.6,42832.8,26390.5,-34428.5,112841.5,166669.4,-0.00279,-0.00408,-0.00477,-0.00681,0.000368,0.00385,0.00461,-0.00259,0.00177,0.00498,-0.0205,0.00682,0.00568,22962215.7,180014062.0,1.06707e+09,1.92402e+09,1.09992e+10,644971778.9,2.23558e+09,1.72660e+09,1.15217e+09,584428417.4,168074685.2,1.47311e+09,1.40257e+09,-80736822.5,5.13568e+09,1.75475e+10,3.49136e+10,5.77090e+10,1.19819e+10,4.02345e+10,2.84829e+10,1.76850e+10,1.26803e+09,2.92261e+10,2.80421e+10,-31666828.4,2.66906e+09,9.97177e+09,1.73739e+10,2.99878e+10,7.14194e+09,2.10571e+10,1.45074e+10,9.40590e+09,657226877.3,1.54803e+10,1.34399e+10,29421445.1,1.30189e+09,2.34679e+09,6.94702e+09,1.07146e+10,2.11606e+09,6.00296e+09,5.88240e+09,4.36172e+09,693438026.2,4.83216e+09,4.23677e+09,-12413373.0,764014551.8,2.82952e+09,8.00672e+09,1.16103e+10,1.99162e+09,8.55829e+09,6.16249e+09,3.08396e+09,-123299678.0,5.44780e+09,6.53471e+09,609238069.6,2.16217e+10,4.82284e+10,6.67337e+10,1.39883e+11,2.59677e+10,9.88968e+10,6.43353e+10,5.33560e+10,1.12096e+10,7.55475e+10,6.05591e+10,4294.2,147403.4,679192.3,1487449.1,2341396.0,405425.0,1714407.9,1260343.7,785654.4,2472.3,1081052.3,1150316.6
14.year_inc,-1409836.0,-1331290.8,7546542.6,5886537.2,12873858.8,2000110.5,8419083.8,7014361.5,7117460.3,3522265.7,2227564.4,5859497.3,3756288.0,0.000933,0.00664,0.00458,-0.0290,0.0134,0.0173,0.0181,0.0122,0.0157,0.0104,-0.00822,0.0148,0.0102,22549.3,208866.1,812093.4,1448714.7,2524286.8,460166.2,1721348.8,1284710.7,889276.2,418055.6,185253.0,1239576.1,1174844.4,0.0100,0.0120,0.00629,-0.00148,0.0198,0.0135,0.0268,0.0184,0.00893,0.00628,0.00372,0.0214,0.0166,282665.9,284979.1,1828449.8,1824773.4,4484899.4,663836.6,2983720.2,2284605.9,1750895.0,833650.3,702852.4,2200293.5,2070167.8,651.3,-1414.6,34319.6,291539.6,324574.0,53237.1,253914.2,172266.0,46564.8,27997.8,-34277.3,152308.0,224772.1,0.000746,-0.00482,-0.00121,-0.0112,0.00216,0.00865,0.00897,-0.00384,-0.000546,0.00127,-0.0237,0.0120,0.00866,4917625.6,204592167.6,1.18812e+09,2.55626e+09,1.36813e+10,708135578.9,2.74858e+09,2.22590e+09,1.44642e+09,764685509.8,291163505.8,1.73569e+09,1.80704e+09,107262647.6,5.07197e+09,2.13344e+10,4.53657e+10,7.21129e+10,1.40304e+10,5.01965e+10,3.68986e+10,2.17447e+10,3.25146e+09,3.52143e+10,3.63378e+10,4140739.0,2.38468e+09,1.18478e+10,2.27473e+10,3.69925e+10,8.15041e+09,2.61156e+10,1.88320e+10,1.16270e+10,1.54102e+09,1.81605e+10,1.72151e+10,95659340.0,1.55770e+09,2.87196e+09,8.22814e+09,1.28187e+10,2.67124e+09,7.31576e+09,6.88334e+09,5.21022e+09,1.27951e+09,5.93539e+09,4.93727e+09,10508672.2,786404517.4,3.53767e+09,1.03129e+10,1.46702e+10,2.44851e+09,1.07961e+10,7.93144e+09,3.68970e+09,185448776.1,6.73873e+09,8.53196e+09,1.56771e+09,2.20328e+10,5.56966e+10,8.62829e+10,1.68622e+11,2.98912e+10,1.17651e+11,8.06507e+10,6.22916e+10,1.73246e+10,8.79712e+10,7.64391e+10,5030.2,153126.8,831038.7,1980326.7,2984236.3,493693.7,2151084.0,1639240.1,969314.6,73209.0,1344996.2,1521227.9
16.year_inc,-334424.5,-2149492.5,7789019.8,7084065.9,15092210.2,2440338.8,9543878.5,8160874.4,8318088.8,4103065.3,2813418.3,6931335.8,4333782.5,0.000894,0.00695,0.00774,-0.0259,0.0161,0.0208,0.0214,0.0151,0.0179,0.0129,-0.00755,0.0172,0.0124,33140.7,193281.3,930939.5,1844474.6,3043176.2,565839.0,2044583.3,1579321.6,1051872.6,503616.6,276921.1,1463854.6,1425464.6,0.0104,0.0148,0.00784,0.00165,0.0224,0.0127,0.0298,0.0210,0.0121,0.00983,0.00485,0.0240,0.0186,396449.0,280595.7,1930136.5,2248290.8,5194066.4,756934.4,3367326.3,2652118.7,2098846.7,1006992.8,892787.5,2541947.8,2338285.3,-1304.9,-1603.4,39059.2,396306.2,432083.6,69799.3,351747.0,254256.6,66483.2,40713.7,-37845.4,177827.1,295801.2,-0.00382,-0.00469,-0.00152,-0.00759,0.00680,0.0123,0.0223,0.00357,0.00443,0.00735,-0.0283,0.0131,0.0143,31570777.5,243062193.1,1.40138e+09,3.30097e+09,1.65134e+10,882425462.2,3.33740e+09,2.75383e+09,1.85879e+09,996706175.8,470935384.8,2.23316e+09,2.24577e+09,112891051.5,4.48107e+09,2.45633e+10,5.86472e+10,8.80905e+10,1.72301e+10,6.13243e+10,4.66203e+10,2.57553e+10,5.14179e+09,4.14702e+10,4.51051e+10,-30941142.5,2.04458e+09,1.39168e+10,2.88603e+10,4.47941e+10,9.78881e+09,3.11125e+10,2.31217e+10,1.36112e+10,2.75921e+09,2.16724e+10,2.13940e+10,136014849.3,1.64111e+09,3.85488e+09,1.14306e+10,1.71939e+10,3.44754e+09,1.01045e+10,1.01675e+10,6.46569e+09,1.89542e+09,7.02642e+09,7.28069e+09,7639080.4,704972276.6,3.95475e+09,1.35745e+10,1.82719e+10,3.06804e+09,1.36110e+10,1.03760e+10,4.55320e+09,393568847.8,7.89588e+09,1.06506e+10,2.48415e+09,2.05352e+10,6.38072e+10,1.06459e+11,1.97333e+11,3.60648e+10,1.35320e+11,9.69050e+10,7.26271e+10,2.28946e+10,1.00428e+11,8.86413e+10,25695.6,136115.5,958553.6,2496431.6,3643865.9,637681.0,2608330.0,2065047.5,1164406.9,153304.0,1578818.4,1841778.1
18.year_inc,885067.4,-2409092.9,7419915.5,8104109.8,17676358.0,2992118.4,10771448.8,9476560.2,9652791.9,4754372.8,3485731.9,8199797.9,5031447.7,0.00105,0.00749,0.0122,-0.0166,0.0191,0.0236,0.0252,0.0186,0.0217,0.0180,-0.00749,0.0196,0.0147,53480.3,203911.0,1031063.6,2301838.0,3647758.9,677046.0,2428369.0,1940494.3,1271941.6,634141.2,369945.9,1707264.6,1698771.3,0.0107,0.0167,0.0112,-0.000732,0.0237,0.0112,0.0312,0.0215,0.0123,0.00880,0.00546,0.0261,0.0194,525137.0,310891.7,1949133.0,2529744.4,5782762.2,864596.4,3636876.7,2890442.3,2410500.0,1139972.4,1100492.8,2892319.9,2507665.8,-1663.2,-1917.3,55349.1,507209.0,559169.5,95374.2,454808.4,331576.4,90162.0,53516.4,-28081.5,227593.1,373633.4,-0.00509,-0.00528,0.00217,-0.00614,0.0117,0.0200,0.0324,0.00748,0.00875,0.00961,-0.0275,0.0188,0.0197,43702783.4,250634839.9,1.68582e+09,4.17355e+09,1.94663e+10,1.12146e+09,4.16666e+09,3.36764e+09,2.29930e+09,1.20185e+09,709990612.6,2.80495e+09,2.75183e+09,348302542.3,4.81447e+09,2.72627e+10,7.29876e+10,1.05842e+11,2.09196e+10,7.34862e+10,5.70699e+10,3.14326e+10,7.52715e+09,4.87718e+10,5.34896e+10,4275668.4,2.20985e+09,1.52413e+10,3.60699e+10,5.35471e+10,1.18157e+10,3.69664e+10,2.82625e+10,1.67798e+10,3.91893e+09,2.52845e+10,2.49516e+10,168545527.0,1.69315e+09,4.54642e+09,1.47583e+10,2.13156e+10,4.45722e+09,1.28930e+10,1.25990e+10,7.85612e+09,2.82066e+09,8.71660e+09,9.00228e+09,26393430.5,741921870.3,4.49724e+09,1.68916e+10,2.22027e+10,3.77588e+09,1.65352e+10,1.27901e+10,5.53894e+09,809455390.0,9.41260e+09,1.28879e+10,3.93059e+09,2.11821e+10,7.50866e+10,1.30093e+11,2.35727e+11,4.23263e+10,1.57354e+11,1.19483e+11,8.81135e+10,3.01587e+10,1.16244e+11,1.05287e+11,32862.2,173119.1,1108413.4,3245838.2,4603188.5,791494.8,3231827.5,2655942.2,1452674.2,325188.9,1947246.3,2359019.5
20.year_inc,2150522.1,-2322073.6,6939150.4,9001304.9,19954791.1,3505073.0,11717609.7,10554243.2,10977191.9,5388814.4,4178319.6,9400547.8,5472526.2,0.00114,0.00801,0.0147,-0.0114,0.0210,0.0223,0.0277,0.0203,0.0248,0.0204,-0.00648,0.0218,0.0163,72038.7,225453.0,1055863.9,2664641.5,4086310.2,716135.1,2686482.2,2148484.5,1481827.1,731070.0,483596.7,1937825.8,1888348.1,0.0116,0.0158,0.0140,-0.000125,0.0246,0.0130,0.0314,0.0232,0.0122,0.0100,0.00590,0.0262,0.0193,681129.1,292881.8,1922604.1,2821763.2,6279374.7,1017549.8,3773899.8,3180926.2,2711085.4,1299706.3,1311357.8,3098448.5,2550739.5,-461.0,459.7,74741.1,619363.8,693885.1,111403.4,549597.9,396493.5,119663.0,64930.5,-11384.7,297391.7,462818.7,-0.00311,-0.00331,0.00833,-0.000432,0.0191,0.0260,0.0441,0.0130,0.0149,0.0126,-0.0240,0.0289,0.0296,56901831.4,296519728.6,1.79885e+09,4.86317e+09,2.27958e+10,1.28330e+09,4.59739e+09,3.72534e+09,2.73887e+09,1.37978e+09,1.03430e+09,3.32998e+09,3.03315e+09,520912348.9,5.28762e+09,2.83790e+10,8.58342e+10,1.20513e+11,2.21140e+10,8.29585e+10,6.41946e+10,3.69080e+10,1.05379e+10,5.63181e+10,6.14907e+10,2408917.9,2.43377e+09,1.55103e+10,4.21071e+10,6.00885e+10,1.21838e+10,4.12652e+10,3.12498e+10,1.93528e+10,5.28234e+09,2.88388e+10,2.85519e+10,286607333.3,2.03069e+09,5.24210e+09,1.82683e+10,2.60486e+10,5.08034e+09,1.52474e+10,1.54064e+10,9.59745e+09,3.90142e+09,1.06422e+10,1.13708e+10,47849749.5,804074532.4,4.74585e+09,1.99621e+10,2.56076e+10,4.09987e+09,1.88547e+10,1.45668e+10,6.61479e+09,1.41807e+09,1.10408e+10,1.48930e+10,5.65499e+09,2.33840e+10,7.79346e+10,1.48847e+11,2.62338e+11,4.45098e+10,1.70864e+11,1.30766e+11,1.03147e+11,3.95979e+10,1.31572e+11,1.14682e+11,46093.1,176912.5,1139332.2,3724618.5,5139733.1,851108.7,3600986.6,2939504.8,1690951.1,420696.7,2200228.3,2597673.3
